Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,Total Number of Votes,Absentee,Ararat,Barrytown,Bladon Sprgs.,Bogueloosa,Branch,Butler,Chappell Hill,Cromwell,Crossroads,Cullomburg,Gilbertown,Halsell,Hurricane,Intersection,Isney,Lavaca,Lisman,Lusk,Melvin,Mt. Sterling,Pelham,Pennington,Pleasant Valley,Pushmataha,Riderwood,Rock Springs,Silas,Souwilpa,Toomey ,Toxey,Womack Hill,Yantley
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CHOCTAW,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,5174,149,101,158,86,224,184,1074,150,70,90,83,285,54,26,49,51,165,226,145,84,135,107,266,122,105,84,52,228,41,114,177,79,210
12,CHOCTAW,GOVERNOR,DEM,"Siegelman, Don",2780,79,49,23,78,71,150,443,36,49,64,34,104,41,16,47,11,108,196,55,63,105,89,196,26,95,72,13,97,13,49,78,33,197
12,CHOCTAW,GOVERNOR,LIB,"Sophocleus, John P.",37,4,2,1,0,1,0,9,0,0,4,1,0,2,0,0,0,1,2,0,0,1,0,0,1,0,0,1,3,0,2,0,1,1
12,CHOCTAW,GOVERNOR,REP,"Riley, Bob",2287,65,48,132,8,150,32,610,108,19,21,47,174,11,10,0,40,52,23,89,20,29,17,67,91,10,11,37,128,28,61,95,44,10
12,CHOCTAW,GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CHOCTAW,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",2922,88,46,26,74,68,144,521,43,50,65,37,117,41,14,45,10,117,194,50,66,101,87,207,30,98,73,16,97,11,58,97,35,196
12,CHOCTAW,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",43,5,2,1,0,2,0,11,1,0,3,1,3,1,1,1,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,0,1
12,CHOCTAW,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",2013,52,48,121,10,142,34,511,94,16,18,41,148,12,11,1,37,45,23,84,17,31,19,51,80,5,8,31,121,27,54,74,38,9
12,CHOCTAW,LIEUTENANT GOVERNOR,WI,WRITE-IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CHOCTAW,UNITED STATES SENATOR,DEM,"Parker, Susan",2399,71,42,18,71,40,132,344,30,46,60,24,69,40,14,44,10,102,192,25,63,94,84,178,16,90,67,13,81,7,52,63,25,192
12,CHOCTAW,UNITED STATES SENATOR,LIB,"Allen, Jeff",47,4,1,0,0,1,2,12,1,0,2,1,4,1,1,0,0,0,1,4,0,0,0,3,0,1,0,1,2,0,0,2,0,3
12,CHOCTAW,UNITED STATES SENATOR,REP,"Sessions, Jeff",2585,72,53,137,13,179,45,694,112,20,24,54,201,12,10,1,38,60,24,111,19,38,22,77,98,11,14,36,145,34,61,106,52,12
12,CHOCTAW,UNITED STATES SENATOR,WI,WRITE-IN,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
12,CHOCTAW,ATTORNEY GENERAL,DEM,"Whigham, Boyd",2451,66,40,22,72,46,144,360,35,46,55,20,87,40,13,45,9,100,187,29,59,95,79,175,15,89,67,11,104,11,52,68,19,191
12,CHOCTAW,ATTORNEY GENERAL,LIB,"Myers, Wilson",67,3,3,2,0,2,1,18,0,1,4,2,3,0,1,0,0,0,4,3,1,0,2,5,4,1,0,0,2,0,0,2,0,3
12,CHOCTAW,ATTORNEY GENERAL,REP,"Pryor, Bill",2290,75,45,120,10,154,31,617,97,19,25,53,174,13,12,0,37,57,23,97,20,35,23,71,86,10,13,35,111,23,58,89,47,10
12,CHOCTAW,ATTORNEY GENERAL,WI,WRITE-IN,4,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CHOCTAW,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",2579,76,45,24,71,58,138,408,37,48,57,24,91,41,15,46,8,108,188,36,63,92,80,172,20,87,66,8,108,12,58,76,24,194
