Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,Total Number of Votes,ABSENTEE VOTERS,BLACKBURN-ZIP CITY COMM_ CTR_,BROADWAY RECREATION CENTER,CENTER STAR-COL_ BANK COMM_ RM,CENTRAL COMMUNITY CENTER,CHAPEL-STEWARTVILLE CHURCH,CLOVERDALE COMMUNITY CENTER,CO_ BOARD OF ED_ ADM_ BLDG_,CROSSROADS-SR_ CIT_ BLDG_,DARBY DRIVE-CHURCH OF CHRIST,FLORENCE RICHARDS CENTER,FLORENCE SHERROD AVE CH CHRIST,FLORENCE-1ST PRESBYTERIAN CH_,FLORENCE-BLVD CHURCH OF CHRIST,FLORENCE-BRADSHAW HIGH SCHOOL,FLORENCE-COFFEE HIGH SCHOOL,FLORENCE-EAST AT CNTRL BAPTIST,FLORENCE-FOREST HILLS SCHOOL 1,FLORENCE-FOREST HILLS SCHOOL 2,FLORENCE-HANDY RECREATION CTR_,FLORENCE-HARLAN SCHOOL,FLORENCE-HIBBETT SCHOOL,FLORENCE-MARS HILL SCHOOL .1,FLORENCE-MARS HILL SCHOOL .2,FLORENCE-UNDERWOOD COMM CTR .1,FLORENCE-UNDERWOOD COMM CTR .2,GREENHILL SR. CITIZEN CENTER #1,GREENHILL SR. CITIZEN CENTER #2,HIGHLAND BAPTIST CHURCH .1,HIGHLAND BAPTIST CHURCH .2,KILLEN-BAPTIST CHURCH .1,KILLEN-BAPTIST CHURCH .2,LEXINGTON-FIRE STATION,MITCHELL ANDERSON-TOWN HALL,OAKLAND-FIRE STATION,ROGERSVILLE-SR_ CIT_ BLDG_  .1,ROGERSVILLE-SR_ CIT_ BLDG_  .2,ST_ FLORIAN-TOWN HALL,WATERLOO-SR_ CITIZENS' BLDG_
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LAUDERDALE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,26506,582,555,649,1242,886,425,786,1110,854,608,312,669,331,731,934,372,439,772,769,496,646,602,880,580,702,475,1046,869,502,593,591,975,816,569,720,445,941,859,173
39,LAUDERDALE,GOVERNOR,DEM,"Siegelman, Don",13054,273,291,389,635,457,206,355,432,444,291,162,465,181,325,456,189,294,316,319,464,339,286,355,212,314,214,530,455,234,299,253,438,420,264,369,221,485,347,75
39,LAUDERDALE,GOVERNOR,LIB,"Sophocleus, John P.",534,7,10,16,34,15,10,18,18,17,10,5,4,7,12,16,14,11,18,12,4,16,13,18,7,17,15,22,20,13,8,10,16,18,15,9,15,23,18,3
39,LAUDERDALE,GOVERNOR,REP,"Riley, Bob",12586,310,242,240,551,401,202,402,647,375,302,144,196,142,387,450,166,127,433,431,27,287,296,495,356,355,241,462,379,252,278,324,515,363,278,335,203,420,483,89
39,LAUDERDALE,GOVERNOR,WI,WRITE-IN,85,0,2,0,4,3,5,6,2,3,3,1,1,0,6,0,0,1,3,3,0,0,0,3,2,3,0,2,0,5,4,1,1,7,5,0,1,2,6,0
39,LAUDERDALE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",13923,276,316,416,656,520,227,377,456,476,301,156,482,184,330,486,188,297,342,348,461,362,291,385,242,354,232,565,495,268,318,261,460,449,298,393,239,523,401,92
39,LAUDERDALE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",485,9,9,13,28,9,7,11,19,15,7,7,8,4,11,14,11,17,14,7,4,17,12,15,7,14,15,28,21,9,9,10,18,20,6,14,6,18,19,3
39,LAUDERDALE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",11617,300,220,216,538,332,182,373,609,342,293,144,165,135,380,423,171,116,406,403,23,258,293,467,325,312,224,413,331,221,253,312,487,329,253,295,193,388,420,72
