Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,Total Number of Votes,ABSENTEE VOTERS,ARDMORE TOWN HALL,ATHENS RECREATION CENTER .1,ATHENS RECREATION CENTER .2,BELMORE BAPTIST CHURCH,BETHEL CHURCH OF CHRIST,BLACKBURN COMMUNITY BUILDING,CLEMENTS FIRE DEPARTMENT,EAST LIMESTONE FIRE DEPT .1,EAST LIMESTONE FIRE DEPT .2,ELKMONT FIRE DEPARTMENT,GOODSPRINGS COMMUNITY CENTER,JOHNSON ELEMENTARY SCHOOL,LEGGTOWN,LESTER POST OFFICE,NATIONAL GUARD ARMORY .1,NATIONAL GUARD ARMORY .2,OAK GROVE FIRE DEPARTMENT,OWENS ELEMENTARY SCHOOL .1,OWENS ELEMENTARY SCHOOL .2,PINEY CHAPEL,PLEASANT GROVE FIRE DEPARTMENT,REID ELEMENTARY SCHOOL,RIPLEY - WOW HALL,SEGARS ROAD FIRE DEPARTMENT,SENIOR CITIZEN CENTER .1,SENIOR CITIZEN CENTER .2,TANNER FIRE DEPARTMENT,TRINITY 7TH DAY ADVENTIST .1,TRINITY 7TH DAY ADVENTIST .2,W HOBBS ST CHURCH OF CHRIST .1,W HOBBS ST CHURCH OF CHRIST .2,WEST LIMESTONE FIRE DEPARTMENT
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LIMESTONE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,20939,448,1040,694,720,363,672,802,768,741,1429,889,256,678,229,89,1242,783,678,420,1228,809,480,689,348,384,450,401,517,116,947,755,638,236
42,LIMESTONE,GOVERNOR,DEM,"Siegelman, Don",9499,177,473,265,294,233,236,382,358,292,594,370,119,279,110,51,466,305,250,163,562,398,192,406,187,180,212,182,325,66,650,316,268,138
42,LIMESTONE,GOVERNOR,LIB,"Sophocleus, John P.",410,7,18,15,12,4,17,18,12,15,24,21,8,19,5,0,26,14,25,9,26,17,10,8,6,8,7,9,8,1,10,11,14,6
42,LIMESTONE,GOVERNOR,REP,"Riley, Bob",10744,259,520,404,404,120,411,393,390,433,799,478,123,368,107,37,738,451,387,246,629,381,268,264,151,191,229,208,182,46,282,420,337,88
42,LIMESTONE,GOVERNOR,WI,WRITE-IN,55,1,5,2,2,2,2,2,2,1,3,3,1,2,1,0,7,2,4,0,4,5,0,1,0,0,1,0,0,0,1,0,1,0
42,LIMESTONE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",10428,192,500,298,323,255,291,426,384,302,625,430,132,316,127,48,517,346,305,205,622,428,209,437,203,190,228,204,332,68,673,362,293,157
42,LIMESTONE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",350,7,14,11,14,3,16,12,9,13,19,20,5,13,5,1,12,10,17,1,25,19,8,7,4,7,9,12,9,3,16,15,9,5
42,LIMESTONE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",9720,239,481,363,370,102,353,353,364,422,771,423,103,335,89,37,694,413,329,209,545,350,248,233,129,182,206,173,169,41,245,362,322,65
