Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,Total Number of Votes,ABSENTEE VOTERS,AIMWELL VOTING BOOTH,DAYTON TOWN OFFICE,DEMOPOLIS CIVIC CENTER,DEMOPOLIS HIGH SCHOOL,DEMOPOLIS NATL GUARD ARMORY,DEMOPOLIS WESTSIDE ELEMENTARY,DIXONS MILLS VOLUNTEER FIRE,FAUNSDALE TOWN OFFICE,FLATWOOD VOTING BOOTH,GALLION COMMUNITY CENTER,HILLS HALF ACRE,HOBOKEN VOTING BOOTH,JEFFERSON VOLUNTEER FIRE,LASCA - HARRISON STORE,MAGNOLIA COMMUNITY CENTER,MICKINLEY VOTING BOOTH,MYRTLEWOOD COMMUNITY CENTER,NANAFALIA SCHOOL,OCTAGON VOTING BOOTH,OLD COURTHOUSE BUILDING,OLD LINDEN ARMORY,PUTMAN VOTING BOOTH,QUINNEY STORE BUILDING,RANGE LINE VOTING BOOTH,SARDIS VOTING BOOTH,SPRINGHILL VOLUNTEER FIRE,SURGINER VOTING BOOTH,SWEET WATER TOWN OFFICE,THOMASTON LUNCH ROOM,VINELAND VOTING BOOTH,WAYNE VOTING BOOTH
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MARENGO,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,7944,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
48,MARENGO,GOVERNOR,DEM,"Siegelman, Don",4909,222,22,44,493,104,484,432,341,164,82,35,41,70,163,7,114,73,121,123,95,126,502,88,222,58,11,65,48,238,235,64,22
48,MARENGO,GOVERNOR,LIB,"Sophocleus, John P.",48,1,0,0,7,1,1,3,0,0,0,0,0,0,3,0,3,0,0,2,1,2,6,0,3,2,0,1,1,3,7,1,0
48,MARENGO,GOVERNOR,REP,"Riley, Bob",2938,84,45,21,139,178,91,729,93,48,0,63,59,64,43,10,30,2,30,55,40,155,269,28,113,68,24,34,60,130,124,79,30
48,MARENGO,GOVERNOR,WI,WRITE-IN,11,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0
48,MARENGO,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",4863,226,25,42,497,114,478,456,318,163,80,37,44,54,167,7,114,68,113,120,98,127,496,82,211,52,9,65,50,225,235,68,22
48,MARENGO,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",54,0,0,0,4,3,2,3,8,0,1,0,0,2,2,0,0,0,0,1,0,2,2,4,4,2,0,0,1,7,3,3,0
48,MARENGO,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",2884,79,41,20,134,163,89,700,99,45,0,61,53,74,36,10,30,6,38,54,38,153,277,28,117,73,25,34,58,129,119,72,29
48,MARENGO,LIEUTENANT GOVERNOR,WI,WRITE-IN,17,1,0,0,1,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,2,0,0
48,MARENGO,UNITED STATES SENATOR,DEM,"Parker, Susan",4074,202,20,34,437,84,456,234,300,153,80,21,19,46,153,5,110,64,94,98,90,90,398,81,185,30,5,60,46,200,204,60,15
48,MARENGO,UNITED STATES SENATOR,LIB,"Allen, Jeff",67,5,1,1,7,1,1,6,5,1,0,0,2,1,2,0,0,0,1,1,1,1,8,3,4,1,0,0,1,9,3,1,0
48,MARENGO,UNITED STATES SENATOR,REP,"Sessions, Jeff",3663,98,46,27,194,196,115,914,114,53,1,77,75,85,49,11,33,10,53,78,45,192,369,30,142,96,30,39,62,157,153,82,37
48,MARENGO,UNITED STATES SENATOR,WI,WRITE-IN,14,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0
48,MARENGO,ATTORNEY GENERAL,DEM,"Whigham, Boyd",3960,197,19,35,423,78,452,212,298,149,80,18,21,45,147,4,109,63,93,96,85,79,390,80,179,30,5,54,45,202,199,59,14
48,MARENGO,ATTORNEY GENERAL,LIB,"Myers, Wilson",97,1,2,0,10,0,7,8,8,2,0,2,0,3,3,0,0,1,1,3,5,2,8,0,5,2,0,0,1,11,7,5,0
48,MARENGO,ATTORNEY GENERAL,REP,"Pryor, Bill",3629,104,43,27,195,199,110,925,109,54,1,75,70,79,47,12,32,10,55,69,46,195,364,33,140,93,29,43,62,145,150,76,37
48,MARENGO,ATTORNEY GENERAL,WI,WRITE-IN,9,0,1,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
48,MARENGO,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",4493,209,16,37,470,110,467,440,308,158,80,29,28,51,159,4,107,64,107,101,92,108,433,83,193,36,4,61,46,215,199,62,16
48,MARENGO,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",71,1,2,0,6,2,4,7,1,0,1,1,2,3,1,0,0,0,2,2,0,1,6,1,7,3,0,0,0,8,7,3,0
48,MARENGO,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",3016,89,40,24,150,166,98,676,97,44,0,66,63,74,36,10,30,7,36,61,38,161,313,26,122,82,27,35,59,134,144,74,34
48,MARENGO,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
48,MARENGO,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",4084,206,19,36,445,79,452,237,301,147,80,24,25,48,145,3,108,64,99,98,88,84,404,82,177,35,4,59,43,211,201,65,15
48,MARENGO,COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",3340,86,40,24,166,192,114,859,104,55,1,68,66,79,44,10,27,8,46,59,37,177,330,28,142,83,25,35,59,133,139,70,34
48,MARENGO,COURT OF CIVIL APPEALS,WI,WRITE-IN,11,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
48,MARENGO,"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",3967,199,15,34,434,72,447,216,293,146,80,21,25,49,145,3,106,61,94,92,81,83,405,80,177,30,2,55,46,203,199,60,14
48,MARENGO,"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",232,5,3,3,21,11,9,36,13,2,0,4,2,7,5,2,1,3,6,8,3,8,22,3,16,5,1,3,2,12,11,5,0
48,MARENGO,"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",3108,80,40,22,159,185,102,820,98,53,1,62,52,69,42,8,26,8,41,56,38,162,295,24,119,81,25,37,55,123,124,69,32
48,MARENGO,"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,20,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,2,1,1,0,0,3,1,0,0
