County,"Whigham, Boyd (D)","Myers, Wilson (L)","Pryor, Bill (R)",Write-In,Total
Autauga,3463,264,10803,24,14554
Baldwin,9018,1298,33888,78,44282
Barbour,5217,149,2595,8,7969
Bibb,2473,132,3543,0,6148
Blount,3839,432,10882,22,15175
Bullock,2708,58,750,1,3517
Butler,2754,98,3776,12,6640
Calhoun,11658,784,19825,71,32338
Chambers,4233,173,4930,0,9336
Cherokee,2712,196,2928,13,5849
Chilton,3771,272,9275,21,13339
Choctaw,2451,67,2290,0,4808
Clarke,3675,106,4778,7,8566
Clay,1525,111,3298,7,4941
Cleburne,1544,178,2775,12,4509
Coffee,4121,201,8285,20,12627
Colbert,8301,272,8168,54,16795
Conecuh,2430,86,2244,11,4771
Coosa,1981,106,2154,2,4243
Covington,3473,188,7325,15,11001
Crenshaw,1458,62,2720,11,4251
Cullman,7697,741,16751,38,25227
Dale,4010,244,7446,35,11735
Dallas,9066,258,6409,14,15747
DeKalb,6004,338,10257,2,16601
Elmore,4671,428,15843,31,20973
Escambia,3210,117,5266,26,8619
Etowah,12553,715,17875,30,31173
Fayette,2819,186,3938,14,6957
Franklin,3797,170,4227,13,8207
Geneva,2156,155,5208,10,7529
Greene,3138,60,881,5,4084
Hale,3644,77,2409,5,6135
Henry,2354,94,2836,9,5293
Houston,7128,388,17385,46,24947
Jackson,5742,310,5926,21,11999
Jefferson,95736,4284,112426,112,212558
Lamar,2317,116,3059,0,5492
Lauderdale,10355,544,14604,50,25553
Lawrence,5185,204,4771,15,10175
Lee,10175,851,17445,0,28471
Limestone,7345,455,12218,39,20057
Lowndes,3154,114,1699,3,4970
Macon,5469,126,1235,6,6836
Madison,31097,2781,53111,202,87191
Marengo,3960,97,3629,9,7695
Marion,4046,262,5588,20,9916
Marshall,7060,614,14903,50,22627
Mobile,38869,2486,62538,12,103905
Monroe,3299,120,4558,18,7995
Montgomery,29418,989,36355,5,66767
Morgan,11827,834,22674,0,35335
Perry,3428,58,1353,7,4846
Pickens,3168,89,3228,0,6485
Pike,3449,93,4667,9,8218
Randolph,2827,184,3876,0,6887
Russell,5926,251,4179,21,10377
Shelby,8859,1087,39059,54,49059
St. Clair,4947,547,13987,26,19507
Sumter,3606,63,1285,4,4958
Talladega,9379,343,12086,30,21838
Tallapoosa,4870,294,9073,27,14264
Tuscaloosa,17823,927,25995,16,44761
Walker,8912,481,11009,7,20409
Washington,2833,123,3057,7,6020
Wilcox,2869,78,1502,3,4452
Winston,2121,193,5466,15,7795
Total,515123,29202,780524,1455,1326304
