County,Susan Parker (D),Pat Duncan (R),Unnamed: 3,Unnamed: 4
Autauga,4917,7308,,
Baldwin,12374,23093,,
Barbour,5228,2786,,
Bibb,2889,2428,,
Blount ,5568,6959,, 
Bullock,2719,872,,
Butler,3592,2732,,
Calhoun,16471,12494,,
Chambers,5242,3541,,
Cherokee,3610,1801,,
Chilton,5037,6673,,
Choctaw,3260,1629,,
Clarke,4416,3212,,
Clay,2366,1848,,
Cleburne,2077,1489,,
Coffee,6242,5526,,
Colbert,10766,5494,,
Conecuh,3064,1598,,
Coosa,2343,1357,,
Covington,4340,3912,,
Crenshaw,2421,1630,,
Cullman,11796,10762,,
Dale,5266,5548,,
Dallas,9731,4877,,
Dekalb,7877,7342,,
Elmore,7029,10702,,
Escambia,4415,3348,,
Etowah,18967,12209,,
Fayette,3899,2485,,
Franklin,5260,2728,,
Geneva,3425,3307,,
Greene,2938,726,,
Hale,3660,1487,,
Henry,2950,1948,,
Houston,9459,12813,,
Jackson,7210,3419,,
Jefferson,112367,98222,,
Lamar,2288,1824,,
Lauderdale,14008,8902,,
Lawrence,7172,2353,,
Lee,12105,13880,,
Limestone,11186,7009,,
Lowndes,3469,1129,,
Macon,6155,812,,
Madison,40656,33871,,
Marengo,4815,3014,,
Marion,5490,3140,,
Marshall,10805,8475,,
Mobile,47072,43618,,
Monroe,3784,2977,,
Montgomery,36665,27816,,
Morgan,19861,13357,,
Perry,3384,1226,,
Pickens,3755,2560,,
Pike,4447,3921,,
Randolph,2846,2138,,
Russell,6159,3131,,
Shelby,10828,29117,,
St. Clair,7105,10891,,
Sumter,3654,1144,,
Talladega,10811,8496,,
Tallapoosa,7115,5576,,
Tuscaloosa,22808,20571,,
Walker,11963,7573,,
Washington,3673,1751,,
Wilcox,2997,1154,,
Winston,2919,4359,,
Calculated,655186,556090,,
Reported,655186,556090,,
