County,Mac Parsons,A.W. Todd
Autauga,3141,2114
Baldwin,1252,1846
Barbour,1947,3365
Bibb,2293,2623
Blount ,1660,1445
Bullock,1876,1718
Butler,2457,3009
Calhoun,6123,7718
Chambers,2456,3696
Cherokee,1220,1686
Chilton,1251,1333
Choctaw,2086,2817
Clarke,2498,3534
Clay,1513,2256
Cleburne,1394,1738
Coffee,2804,3946
Colbert,1816,3118
Conecuh,1220,2972
Coosa,407,1027
Covington,2825,3938
Crenshaw,1640,2370
Cullman,5375,5912
Dale,1927,2883
Dallas,5764,5675
Dekalb,4202,3974
Elmore,2480,2013
Escambia,1476,3347
Etowah,5253,5782
Fayette,2518,4509
Franklin,1480,4438
Geneva,1389,2342
Greene,1723,2559
Hale,1179,1645
Henry,1115,2237
Houston,2467,3454
Jackson,3528,4130
Jefferson,21070,22295
Lamar,1419,3134
Lauderdale,3274,5667
Lawrence,2676,4311
Lee,3337,3719
Limestone,2261,3298
Lowndes,2141,1548
Macon,1407,2613
Madison,6096,9006
Marengo,2643,3963
Marion,2838,6185
Marshall,4638,5641
Mobile,10371,10623
Monroe,1181,2606
Montgomery,11270,10738
Morgan,6996,6197
Perry,1868,2750
Pickens,3179,3807
Pike,1195,1749
Randolph,1258,2212
Russell,2119,2854
Shelby,1036,1249
St. Clair,2216,2750
Sumter,1513,1516
Talladega,2149,3356
Tallapoosa,3056,4679
Tuscaloosa,11147,10243
Walker,6587,7821
Washington,2394,3352
Wilcox,1014,2137
Winston,298,575
Calculated,210402,265763
Reported,210402,265763
