County,Elbert Boozer,Handy Ellis,J.E. Folsom,Gordon Persons,Joe N. Poole
Autauga,199,533,252,818,381
Baldwin,187,1473,1611,699,830
Barbour,299,509,1371,381,939
Bibb,171,709,1252,91,1029
Blount,950,851,2375,153,483
Bullock,46,336,458,334,445
Butler,71,295,526,269,2445
Calhoun,5981,789,792,331,264
Chambers,1775,1266,1317,1200,927
Cherokee,1171,369,856,206,515
Chilton,217,1088,1693,401,821
Choctaw,310,754,830,679,959
Clarke,552,1327,998,1174,1562
Clay,1601,825,471,132,412
Cleburne,2288,160,134,37,154
Coffee,224,414,3192,292,702
Colbert,822,1276,2394,341,1369
Conecuh,327,730,493,274,1177
Coosa,564,1015,395,200,387
Covington,244,1316,1540,495,1372
Crenshaw,337,909,1082,711,802
Cullman,364,574,4239,128,953
Dale,212,538,1918,731,968
Dallas,285,1686,160,519,1346
Dekalb,1933,1178,1716,457,1474
Elmore,375,1571,2202,1873,650
Escambia,355,792,1566,682,1067
Etowah,3166,1477,5111,807,857
Fayette,462,1093,1175,145,774
Franklin,784,873,1664,144,1719
Geneva,727,462,1451,325,617
Greene,135,469,164,102,401
Hale,172,594,144,168,799
Henry,150,513,815,421,929
Houston,259,990,2320,885,1265
Jackson,1514,747,2215,171,1475
Jefferson,4650,14764,13597,6104,8290
Lamar,664,837,1042,329,1204
Lauderdale,585,2030,2038,223,1930
Lawrence,426,820,1680,205,1369
Lee,311,1643,614,724,672
Limestone,638,1140,1279,508,999
Lowndes,97,305,115,281,558
Macon,190,444,418,341,258
Madison,1417,2609,2655,241,1394
Marengo,433,1185,544,470,1211
Marion,952,904,1847,216,1168
Marshall,1984,1040,4648,130,873
Mobile,693,3659,1915,4773,2470
Monroe,98,1396,416,206,1199
Montgomery,341,3863,1056,5431,887
Morgan,1608,1524,2631,390,1963
Perry,259,612,212,54,354
Pickens,1029,498,530,207,572
Pike,280,834,1930,567,822
Randolph,2597,482,641,254,634
Russell,38,1885,491,215,734
Shelby,941,581,757,222,695
St. Clair,185,3711,324,169,321
Sumter,183,664,124,263,623
Talladega,2517,2727,1173,423,401
Tallapoosa,1484,1168,1934,705,773
Tuscaloosa,1901,3026,1952,2080,1215
Walker,1809,2094,4381,600,1193
Washington,283,487,671,549,1053
Wilcox,183,723,200,134,967
Winston,129,303,467,61,374
Calculated,58134,88459,103174,43851,70445
Reported,58134,88459,103174,43851,70925
