County,Hugh DuBose,W.R. Farnell,Wiley Gordon,Phil Hamm,J.Bruce Henderson
Autauga,13,0,4,176,314
Baldwin,59,7,13,734,930
Barbour,5,1,12,413,133
Bibb,5,3,14,638,370
Blount ,16,3,2298,758,131
Bullock,5,0,7,261,268
Butler,12,4,13,767,731
Calhoun,161,19,52,462,421
Chambers,23,7,119,287,699
Cherokee,4,5,12,365,83
Chilton,23,2,367,221,350
Choctaw,14,15,7,316,768
Clarke,16,10,29,907,1347
Clay,15,7,14,517,171
Cleburne,6,1,14,121,67
Coffee,2,2,7,2873,198
Colbert,43,11,30,965,319
Conecuh,7,1,22,471,384
Coosa,24,6,8,314,174
Covington,18,0,26,1589,628
Crenshaw,10,3,8,898,236
Cullman,23,8,76,1780,371
Dale,16,2,5,821,319
Dallas,7,0,7,153,1356
Dekalb,9,7,67,986,84
Elmore,17,8,36,642,447
Escambia,52,3,12,857,327
Etowah,146,22,337,1090,444
Fayette,16,1,5,349,103
Franklin,34,5,30,836,206
Geneva,19,6,21,1945,351
Greene,4,0,0,80,131
Hale,5,2,1,160,427
Henry,10,3,7,351,355
Houston,49,8,45,1351,988
Jackson,9,0,11,1389,70
Jefferson,678,42,242,4516,7397
Lamar,13,9,14,1008,128
Lauderdale,65,11,31,887,332
Lawrence,8,3,37,728,331
Lee,9,4,12,373,468
Limestone,9,1,11,265,310
Lowndes,5,0,1,128,514
Macon,1,1,4,580,379
Madison,43,9,56,1122,165
Marengo,22,0,7,177,961
Marion,19,8,55,1319,186
Marshall,35,4,318,2535,167
Mobile,311,100,485,2734,2370
Monroe,12,1,18,802,658
Montgomery,77,14,397,1725,1563
Morgan,8,5,231,1121,806
Perry,3,4,12,152,408
Pickens,9,0,4,96,369
Pike,6,3,8,1004,257
Randolph,9,4,11,769,161
Russell,3,3,7,1768,145
Shelby,112,3,58,283,487
St. Clair,16,4,50,232,253
Sumter,3,0,3,45,425
Talladega,78,19,12,747,1202
Tallapoosa,27,3,11,1766,353
Tuscaloosa,36,10,151,1037,592
Walker,63,10,46,877,433
Washington,15,15,30,458,825
Wilcox,1,5,4,73,1487
Winston,1,1,5,225,34
Calculated,2594,478,6067,56395,38867
Reported,2594,478,6067,56395,38867
