County,Albert Boutwell,Eugene Connor,Ryan deGraffenried,J.E. Folsom
Autauga,3.0,64,592,410
Baldwin,19.0,80,3008,2217
Barbour,,39,124,461
Bibb,,279,448,711
Blount,,258,1718,2479
Bullock,,58,232,572
Butler,,39,782,1003
Calhoun,,541,4123,2478
Chambers,,102,3282,1171
Cherokee,,53,959,2486
Chilton,,393,718,1317
Choctaw,,36,275,915
Clarke,14.0,100,831,979
Clay,,276,904,999
Cleburne,,71,513,1146
Coffee,,35,547,2474
Colbert,,319,3234,3896
Conecuh,,26,399,952
Coosa,,145,759,1019
Covington,,94,1382,1908
Crenshaw,,27,594,1370
Cullman,,194,1748,6661
Dale,7.0,56,389,851
Dallas,6.0,167,1207,825
Dekalb,,72,2005,4662
Elmore,,115,1297,1068
Escambia,7.0,72,1206,2442
Etowah,,1126,8599,5645
Fayette,2.0,205,1087,1658
Franklin,7.0,141,1743,3031
Geneva,,65,615,1477
Greene,,50,470,372
Hale,,149,594,337
Henry,,34,200,583
Houston,2.0,151,1090,1936
Jackson,,73,1997,3277
Jefferson,176.0,8997,36497,16730
Lamar,,161,1208,1831
Lauderdale,10.0,234,3843,4647
Lawrence,,184,1422,2602
Lee,,44,2423,1046
Limestone,,140,2151,2260
Lowndes,,9,235,504
Macon,,66,449,2242
Madison,,391,7724,4803
Marengo,4.0,79,606,487
Marion,,226,1330,4072
Marshall,,322,3140,6588
Mobile,531.0,681,12454,11184
Monroe,3.0,30,619,822
Montgomery,,180,4840,4703
Morgan,,465,4839,4346
Perry,4.0,92,312,403
Pickens,,345,972,788
Pike,,68,879,850
Randolph,23.0,173,1037,2656
Russell,,41,883,1376
Shelby,,589,1727,1289
St. Clair,,427,1339,1620
Sumter,2.0,61,566,353
Talladega,6.0,1166,3199,2737
Tallapoosa,,333,2565,2415
Tuscaloosa,,638,9895,2808
Walker,,899,2738,5240
Washington,5.0,201,404,1278
Wilcox,,26,304,281
Winston,1.0,46,433,891
Calculated,832.0,23019,160704,159640
Reported,832.0,23019,160704,159640
