County,George McMillan,George Wallace
Autauga,3338,3947
Baldwin,7081,9277
Barbour,1877,6086
Bibb,1536,3097
Blount,3096,4564
Bullock,1863,2304
Butler,2885,3336
Calhoun,13113,12505
Chambers,4768,4821
Cherokee,2342,4867
Chilton,3521,5027
Choctaw,2400,5333
Clarke,3293,4530
Clay,1945,3217
Cleburne,2278,3312
Coffee,4081,5029
Colbert,7819,9018
Conecuh,2293,3636
Coosa,1631,1813
Covington,5023,7647
Crenshaw,2081,3642
Cullman,6809,8396
Dale,3629,6017
Dallas,8810,6021
Dekalb,5426,8022
Elmore,5491,6217
Escambia,3080,6157
Etowah,13527,16935
Fayette,2732,4514
Franklin,3521,7067
Geneva,2718,5758
Greene,2576,2037
Hale,2925,3127
Henry,2163,3046
Houston,10154,11392
Jackson,4552,8794
Jefferson,105452,57272
Lamar,2083,5268
Lauderdale,9777,11080
Lawrence,3200,6738
Lee,9024,4889
Limestone,5372,8552
Lowndes,1647,3389
Macon,4383,2946
Madison,24154,18078
Marengo,4043,4322
Marion,3202,7915
Marshall,7580,10717
Mobile,34097,38504
Monroe,2596,4057
Montgomery,28221,18740
Morgan,11503,12423
Perry,3372,2764
Pickens,3155,3981
Pike,4101,5416
Randolph,2985,4416
Russell,3498,4924
Shelby,4784,6920
St. Clair,9248,7083
Sumter,3518,3756
Talladega,7880,8836
Tallapoosa,5945,7212
Tuscaloosa,15716,13152
Walker,5754,8851
Washington,1938,4560
Wilcox,3038,3011
Winston,801,1923
Calculated,488444,512203
Reported,488444,512203
