Unnamed: 0, ,Charles,Ed,Ronnie ,Paul ,Fob ,Don,Unnamed: 8
,County,Bishop,Daw,Flippo,Hubbert,James,Siegelman,
,Autauga,374,46,867,2131,2957,1615,
,Baldwin,258,29,538,2407,2891,2827,
,Barbour,239,38,1027,2154,1747,1297,
,Bibb,212,5,406,1395,943,1026,
,Blount ,294,40,991,1808,1078,1331,
,Bullock,281,37,438,1413,1159,790,
,Butler,315,33,440,1810,2355,1233,
,Calhoun,1078,141,2474,6768,2866,4864,
,Chambers,250,42,568,2707,3389,1591,
,Cherokee,346,49,1448,1794,679,1127,
,Chilton,338,45,1030,2737,1825,1826,
,Choctaw,154,24,520,2139,1057,1922,
,Clarke,290,33,799,2967,2190,1442,
,Clay,397,15,645,1358,898,919,
,Cleburne,409,32,473,1603,874,974,
,Coffee,276,28,847,2141,2380,2179,
,Colbert,312,72,5821,2791,830,778,
,Conecuh,189,31,473,1614,1125,1180,
,Coosa,130,13,266,1141,772,662,
,Covington,536,42,998,2617,2957,2343,
,Crenshaw,178,12,434,1604,1699,1104,
,Cullman,653,80,3079,5427,1779,2287,
,Dale,262,18,680,1548,2169,1905,
,Dallas,490,82,666,2433,3512,3591,
,Dekalb,284,41,2508,3304,1178,1664,
,Elmore,334,55,952,2585,3105,1446,
,Escambia,291,73,594,2762,2067,1760,
,Etowah,1212,88,3418,6737,2600,5412,
,Fayette,250,16,496,3874,840,670,
,Franklin,192,25,3344,2047,464,651,
,Geneva,271,31,754,1362,1582,1655,
,Greene,139,14,386,1508,849,1645,
,Hale,256,28,375,2211,1095,1073,
,Henry,219,16,681,1361,1434,1296,
,Houston,528,28,1334,3090,4266,3288,
,Jackson,261,24,5269,2250,1053,1034,
,Jefferson,2725,287,6736,33063,19700,29889,
,Lamar,238,26,655,2286,1338,897,
,Lauderdale,365,131,12969,3396,1201,1275,
,Lawrence,236,29,4856,2572,803,888,
,Lee,358,59,1036,2752,4058,2671,
,Limestone,447,31,5257,3714,1553,1362,
,Lowndes,183,22,215,1545,1117,848,
,Macon,322,59,409,2970,1241,1503,
,Madison,491,99,16265,6560,4320,6546,
,Marengo,377,36,699,3260,2280,1430,
,Marion,423,34,2445,3880,1161,1685,
,Marshall,516,119,4086,4487,2144,2544,
,Mobile,933,146,3474,11026,10908,28599,
,Monroe,811,115,2924,12541,11623,8379,
,Montgomery,286,60,559,2763,1388,1159,
,Morgan,594,64,7142,4976,2661,2311, 
,Perry,194,23,264,1249,986,2123,
,Pickens,813,30,693,2346,1955,1140,
,Pike,265,39,672,2288,2472,1416,
,Randolph,333,69,528,2069,1115,727,
,Russell,158,42,137,1215,1271,845,
,Shelby,163,11,525,1625,1340,1577,
,St. Clair,559,49,975,2408,1864,1981,
,Sumter,119,27,398,2666,1392,711,
,Talladega,715,63,1114,4427,3122,2518,
,Tallapoosa,390,61,1348,3189,3764,2374,
,Tuscaloosa,1234,64,2414,8798,3822,6267,
,Walker,4486,91,1952,5489,1913,3516,
,Washington,133,18,530,2332,1103,2486,
,Wilcox,98,21,369,1352,1585,2137,
,Winston,221,6,420,966,257,424,
,Calculated,31684,3357,128105,233808,160121,184635,
,Reported,31684,3357,128105,233808,160121,184635,
