County,Lee Lamb,Lenora Pate,Don Siegelman,Wayne Sowell,Unnamed: 5
Autauga,28,193,1175,40,
Baldwin,38,475,2006,51,
Barbour,182,1647,5194,287,
Bibb,79,791,2611,75,
Blount ,10,343,1174,22,
Bullock,80,463,2850,123,
Butler,73,458,2368,108,
Calhoun,184,1557,7649,211,
Chambers,219,594,4517,227,
Cherokee,131,725,3618,295,
Chilton,30,300,1775,46,
Choctaw,94,331,3794,178,
Clarke,95,1103,4186,130,
Clay,54,399,1877,79,
Cleburne,111,417,2133,162,
Coffee,93,371,2809,209,
Colbert,82,654,5004,172,
Conecuh,57,353,1840,79,
Coosa,72,702,2822,161,
Covington,144,801,2922,291,
Crenshaw,92,634,2198,81,
Cullman,65,1310,3921,128,
Dale,30,152,1608,101,
Dallas,256,2386,9026,364,
Dekalb,92,507,2750,74,
Elmore,21,223,1634,39,
Escambia,69,272,1857,80,
Etowah,109,1350,6632,149,
Fayette,70,924,2455,131,
Franklin,122,771,3794,206,
Geneva,66,229,2174,230,
Greene,70,460,2797,115,
Hale,93,875,2886,170,
Henry,79,265,2080,183,
Houston,52,211,3358,253,
Jackson,104,540,2554,125,
Jefferson,356,8212,31913,545,
Lamar,72,404,1766,99,
Lauderdale,196,1410,7708,340,
Lawrence,168,797,5872,301,
Lee,81,407,3400,101,
Limestone,136,1064,5151,308,
Lowndes,47,370,2623,61,
Macon,54,310,3568,103,
Madison,128,2298,7535,304,
Marengo,159,1545,5019,217,
Marion,146,1027,5071,269,
Marshall,43,664,2477,88,
Mobile,799,1694,12849,235,
Monroe,75,787,3629,141,
Montgomery,439,1175,11973,284,
Morgan,213,1649,7118,361,
Perry,32,482,2846,83,
Pickens,148,957,3485,196,
Pike,51,320,2074,63,
Randolph,99,582,2258,151,
Russell,66,106,1456,281,
Shelby,15,932,1449,35,
St. Clair,36,411,1350,53,
Sumter,125,537,4018,170,
Talladega,53,552,3596,67,
Tallapoosa,264,2048,5912,261,
Tuscaloosa,73,1593,5587,173,
Walker,135,2104,6942,167,
Washington,87,450,4117,145,
Wilcox,57,513,2713,98,
Winston,13,114,658,11,
Calculated,7612,59300,280181,11086,358179.0
Reported,7612,59300,280181,11086,
