County,Jim Partain (AP),Guy Hunt (R),Fob James (D),Richard Dare (DET)
Autauga,71,1465,4848,12
Baldwin,222,5189,12164,37
Barbour,72,585,4607,21
Bibb,9,769,2597,4
Blount,175,4230,4396,8
Bullock,24,343,4285,7
Butler,64,969,4862,15
Calhoun,101,3400,15005,404
Chambers,94,742,9774,25
Cherokee,33,518,2268,3
Chilton,30,2501,4991,59
Choctaw,1,200,3056,3
Clarke,72,755,5079,12
Clay,20,407,2169,25
Cleburne,34,322,1738,3
Coffee,75,1461,6947,17
Colbert,181,2417,7580,19
Conecuh,20,438,2579,29
Coosa,39,453,2107,4
Covington,37,1478,6395,62
Crenshaw,16,567,2982,20
Cullman,51,10644,5644,70
Dale,93,1358,5565,18
Dallas,89,1226,7318,107
Dekalb,69,4454,8311,3
Elmore,87,1720,7223,12
Escambia,40,992,5571,98
Etowah,136,6290,14746,230
Fayette,6,1225,2619,2
Franklin,130,2076,4200,8
Geneva,19,805,4854,48
Greene,9,212,2542,3
Hale,45,554,2987,30
Henry,39,447,2749,1
Houston,85,2859,9603,138
Jackson,81,1334,4867,20
Jefferson,2308,49422,92835,266
Lamar,18,479,2423,1
Lauderdale,234,3551,10267,16
Lawrence,34,1107,3140,38
Lee,89,1119,10262,14
Limestone,98,1506,5008,8
Lowndes,32,358,3004,8
Macon,39,296,4591,10
Madison,309,9598,22787,99
Marengo,43,538,4593,14
Marion,24,2322,4060,4
Marshall,238,3658,6358,17
Mobile,567,16360,48663,911
Monroe,50,658,6552,107
Montgomery,218,6807,30732,87
Morgan,202,4449,9384,13
Perry,3,250,4920,2
Pickens,7,580,3614,1
Pike,69,1191,5217,3
Randolph,95,715,4938,17
Russell,135,523,5826,14
Shelby,220,2516,4417,5
St. Clair,119,3741,7141,19
Sumter,10,227,2626,4
Talladega,105,1997,7846,161
Tallapoosa,59,980,7190,16
Tuscaloosa,290,5998,14332,59
Walker,37,5898,7419,16
Washington,41,445,3308,7
Wilcox,14,390,6083,5
Winston,27,3879,3022,3
Calculated,8103,196963,551786,3522
Reported,8103,196963,551786,3522
