Unnamed: 0,Governor,Unnamed: 2,Unnamed: 3
,Baxley (D),Riley (R),Write-In
Total,519827,718327,12247
Margin,0.15874907329728624,,
Autauga,4399,9556,77
Baldwin,10604,34969,210
Barbour,3349,2866,14
Bibb,2207,3263,85
Blount,5058,8877,216
Bullock,2217,881,3
Butler,3181,3615,18
Calhoun,11858,17542,297
Chambers,4414,4789,
Cherokee,3337,3700,35
Chilton,4103,7955,105
Choctaw,2775,2134,6
Clarke,4134,4904,19
Clay,1904,2893,53
Cleburne,1415,2662,31
Coffee,4526,8634,43
Colbert,8281,7386,111
Conecuh,2252,1975,10
Coosa,2404,1915,28
Covington,4055,7196,40
Crenshaw,1775,2511,14
Cullman,9531,15081,927
Dale,4098,8287,64
Dallas,8698,5409,41
DeKalb,6878,10532,253
Elmore,6146,14594,137
Escambia,3547,5202,37
Etowah,13984,14923,422
Fayette,2812,3127,96
Franklin,4122,3385,114
Geneva,2335,4911,28
Greene,3260,973,12
Hale,3335,1951,17
Henry,2706,3075,15
Houston,9705,16253,151
Jackson,6077,6515,105
Jefferson,84137,93132,2122
Lamar,2429,2336,50
Lauderdale,10831,13943,215
Lawrence,5558,4450,194
Lee,10469,16490,211
Limestone,7214,11910,249
Lowndes,3068,1235,7
Macon,4541,1274,9
Madison,29398,53489,825
Marengo,4046,3159,14
Marion,4397,4205,164
Marshall,8615,14599,430
Mobile,34221,58750,307
Monroe,3215,4841,
Montgomery,30589,30659,331
Morgan,11717,21156,552
Perry,3025,1237,8
Pickens,2920,3311,38
Pike,3393,4627,23
Randolph,2829,3653,31
Russell,5536,3955,31
St Clair,5882,12803,455
Shelby,10696,37167,692
Sumter,3821,1614,12
Talladega,9634,9399,250
Tallapoosa,5069,8078,27
Tuscaloosa,19078,24247,443
Walker,9014,8749,504
Washington,2676,3376,12
Wilcox,3342,1189,2
Winston,2985,4853,205
