Unnamed: 0,Unnamed: 1,Governor,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
County,CD,Bentley,Byrne,James,Johnson,Moore,Potts,Taylor,,
Autauga  ,2,2468,2562,2111,158,1778,19,57,,
Baldwin  ,1,5682,14258,6886,347,3548,79,127,,
Barbour  ,2,84,155,209,18,170,6,12,,
Bibb  ,6,1123,382,825,44,860,31,23,,
Blount  ,4,2633,1258,2752,83,2746,33,60,,
Bullock  ,2,11,56,35,0,31,0,0,,
Butler  ,2,250,296,1032,3,199,2,4,, 
Calhoun  ,3,2590,1959,2296,81,2165,33,38,,
Chambers  ,3,427,470,705,56,537,9,29,,
Cherokee  ,3,400,247,292,25,398,5,9,,
Chilton  ,6,1980,946,2829,74,1827,36,41,,
Choctaw  ,7,26,40,26,3,79,0,4,,
Clarke  ,"1, 7",378,591,781,16,306,5,7,,
Clay  ,3,259,159,390,39,361,1,7,,
Cleburne  ,3,549,256,482,61,654,24,37,,
Coffee  ,2,1899,2037,1642,310,2414,38,67,,
Colbert  ,5,756,513,821,54,788,9,20,,
Conecuh  ,2,100,142,143,4,136,1,3,,
Coosa  ,"3, 6",259,150,319,14,207,4,1,,
Covington  ,2,1127,1371,1550,58,1294,18,25,,
Crenshaw  ,2,115,107,317,4,137,3,6,,
Cullman  ,4,3439,1933,3823,134,3886,58,74,,
Dale  ,2,1443,1275,846,250,1706,37,59,,
Dallas  ,7,61,84,151,2,128,0,1,,
DeKalb  ,4,1376,563,1233,38,1130,12,31,,
Elmore  ,2,3330,3332,2580,158,2191,17,43,,
Escambia  ,1,550,1397,1103,25,651,9,19,,
Etowah  ,4,3582,1820,3109,87,3339,30,60,,
Fayette  ,4,368,65,145,4,296,2,2,,
Franklin  ,4,238,144,390,15,342,8,6,,
Geneva  ,2,1552,873,826,199,1729,20,44,,
Greene  ,7,111,13,40,0,29,1,1,,
Hale  ,7,290,52,105,0,104,0,2,,
Henry  ,2,459,582,242,114,509,13,18,,
Houston  ,2,3802,3506,1978,966,3050,63,140,,
Jackson  ,5,658,405,986,45,771,18,27,,
Jefferson  ,"6, 7",13688,20738,15211,575,10264,113,225,,
Lamar  ,4,136,43,77,5,167,1,3,,
Lauderdale  ,5,1458,1341,1674,102,1566,28,27,,
Lawrence  ,5,471,282,672,33,609,10,7,,
Lee  ,3,2018,4994,3118,305,1988,43,117,,
Limestone  ,5,1951,1623,2619,210,1744,21,49,,
Lowndes  ,2,98,118,188,8,74,1,2,,
Macon  ,3,74,108,93,4,100,4,3,,
Madison  ,5,8843,11336,10393,1303,5817,174,282,,
Marengo  ,7,96,66,114,3,97,1,5,,
Marion  ,4,671,187,390,12,634,8,14,,
Marshall  ,4,4080,2147,3418,179,2366,28,71,,
Mobile  ,1,5184,17021,9356,518,5545,92,154,,
Monroe  ,1,505,609,677,11,639,2,5,,
Montgomery  ,"2, 3",4713,9835,4218,159,2681,37,51,,
Morgan  ,"4, 5",4951,5062,6134,383,4097,65,153,,
Perry  ,7,118,87,92,0,85,2,0,,
Pickens  ,"4, 7",471,59,105,5,195,2,3,,
Pike  ,2,1048,1080,876,55,649,10,12,,
Randolph  ,3,230,247,276,41,432,17,29,,
Russell  ,3,81,98,206,27,210,2,38,,
Shelby  ,6,7119,7815,7480,354,3710,89,71,,
St. Clair  ,"4, 6",3207,2198,3385,175,2827,46,50,,
Sumter  ,7,14,15,21,1,13,2,0,,
Talladega  ,3,2080,1053,1954,119,1493,13,22,,
Tallapoosa  ,3,1700,1184,1498,48,876,16,20,,
Tuscaloosa  ,"6, 7",11345,2349,2020,96,2163,23,34,,
Walker  ,4,1548,849,1848,81,1809,23,36,,
Washington  ,1,45,106,137,6,95,1,0,,
Wilcox  ,7,60,57,99,4,50,0,1,,
Winston  ,4,1580,745,1443,51,1672,31,34,,
Total,,123958,137451,123792,8362,95163,1549,2622,,
Percentages,,0.25148864772964735,0.27886353538366027,0.2511518633710491,0.01696500485902734,0.1930687344414756,0.003142644406437856,0.005319569808702427,,
