County,Winton Blount,Guy Hunt,Fob James,Mac McAllister,Phil Williams,Unnamed: 6
Autauga,2201,290,3104,29,38,
Baldwin,9024,722,9491,246,179,
Barbour,82,49,209,12,4,
Bibb,164,75,463,19,4,
Blount,1648,1136,2442,61,53,
Bullock,26,6,29,0,0,
Butler,247,57,1031,3,4,
Calhoun,2001,485,2829,91,35,
Chambers,152,36,556,7,3,
Cherokee,64,37,103,4,0,
Chilton,1412,702,3020,66,79,
Choctaw,53,21,116,1,1,
Clarke,284,47,349,4,4,
Clay,189,137,418,2,2,
Cleburne,43,37,114,7,1,
Coffee,838,172,1711,8,10,
Colbert,1007,280,1678,52,29,
Conecuh,65,19,162,0,1,
Coosa,155,50,350,1,4,
Covington,666,244,1489,8,9,
Crenshaw,68,19,238,1,0,
Cullman,1697,2895,2547,76,61,
Dale,1070,285,1699,25,25,
Dallas,171,40,322,2,5,
Dekalb,832,771,2753,34,40,
Elmore,3338,584,4802,50,55,
Escambia,825,95,967,8,3,
Etowah,1689,614,3508,98,158,
Fayette,140,115,350,10,5,
Franklin,161,110,449,9,6,
Geneva,563,233,1192,16,9,
Greene,4,7,22,0,0,
Hale,54,33,89,10,2,
Henry,315,80,441,2,3,
Houston,3531,779,4654,71,37,
Jackson,432,148,710,19,31,
Jefferson,31754,4260,28908,1071,673,
Lamar,99,69,285,14,2,
Lauderdale,1392,334,2227,58,67,
Lawrence,114,77,322,9,14,
Lee,6203,667,4556,178,80,
Limestone,1271,336,2328,46,87,
Lowndes,134,21,307,2,4,
Macon,108,16,220,2,2,
Madison,12564,1430,11251,349,1549,
Marengo,49,17,143,1,2,
Marion,152,114,373,12,1,
Marshall,2350,907,3468,84,84,
Mobile,18348,1544,17925,471,266,
Monroe,274,41,399,5,1,
Montgomery,12681,808,11776,122,115,
Morgan,3215,1080,5054,105,128,
Perry,56,36,153,1,0,
Pickens,67,35,239,8,6,
Pike,1068,220,1597,8,8,
Randolph,136,58,319,5,1,
Russell,378,58,635,23,6,
Shelby,8446,942,8509,297,143,
St. Clair,3222,1344,5016,206,98,
Sumter,23,6,28,4,1,
Talladega,1630,350,2273,43,17,
Tallapoosa,716,105,910,9,9,
Tuscaloosa,4394,883,4778,1573,81,
Walker,879,553,1850,53,17,
Washington,55,20,129,2,2,
Wilcox,39,10,151,1,0,
Winston,930,901,1609,57,24,
Calculated,147958,28652,172145,5871,4388,
Reported,147958,28652,172145,5871,4388,359014.0
