County,Winton Blount,Fob James
Autauga,2268,4122
Baldwin,8616,10525
Barbour,217,403
Bibb,230,858
Blount,1737,3952
Bullock,111,123
Butler,334,1272
Calhoun,3557,5084
Chambers,563,1552
Cherokee,275,395
Chilton,1290,3797
Choctaw,467,588
Clarke,1259,1871
Clay,388,907
Cleburne,114,318
Coffee,1336,2958
Colbert,1524,2672
Conecuh,93,275
Coosa,299,628
Covington,1189,2761
Crenshaw,109,420
Cullman,3189,4939
Dale,1656,2830
Dallas,268,574
Dekalb,1260,3525
Elmore,3569,6009
Escambia,1247,1804
Etowah,2599,5639
Fayette,303,789
Franklin,509,1136
Geneva,930,1994
Greene,404,416
Hale,170,301
Henry,636,1038
Houston,5026,7671
Jackson,918,1423
Jefferson,53656,48433
Lamar,216,502
Lauderdale,2126,3650
Lawrence,250,644
Lee,6035,5165
Limestone,1583,3080
Lowndes,450,660
Macon,430,437
Madison,16191,13410
Marengo,822,1317
Marion,387,862
Marshall,2719,4282
Mobile,19993,20126
Monroe,285,538
Montgomery,16806,15618
Morgan,3672,6450
Perry,88,244
Pickens,404,996
Pike,993,1849
Randolph,235,514
Russell,609,906
Shelby,8679,13035
St. Clair,2581,6136
Sumter,199,174
Talladega,2338,4131
Tallapoosa,1719,2765
Tuscaloosa,8454,8529
Walker,1463,3412
Washington,633,1048
Wilcox,84,318
Winston,898,1902
Calculated,203658,256702
Reported,203658,256702
