County,Ann Bedsole,Fob James
Autauga,592,1378
Baldwin,5669,7467
Barbour,44,88
Bibb,84,149
Blount,540,998
Bullock,7,26
Butler,39,216
Calhoun,1045,1241
Chambers,26,143
Cherokee,51,39
Chilton,564,1202
Choctaw,48,23
Clarke,344,200
Clay,38,47
Cleburne,30,29
Coffee,303,580
Colbert,431,747
Conecuh,40,92
Coosa,140,295
Covington,121,369
Crenshaw,19,82
Cullman,766,1253
Dale,265,700
Dallas,168,258
Dekalb,308,429
Elmore,1038,3062
Escambia,256,275
Etowah,1269,2052
Fayette,25,59
Franklin,76,136
Geneva,80,280
Greene,17,17
Hale,83,171
Henry,65,204
Houston,853,2653
Jackson,83,135
Jefferson,17419,35476
Lamar,10,69
Lauderdale,685,1313
Lawrence,763,194
Lee,744,1622
Limestone,584,1235
Lowndes,41,77
Macon,36,118
Madison,7893,9119
Marengo,58,78
Marion,100,153
Marshall,530,642
Mobile,13526,14583
Monroe,365,300
Montgomery,5998,14896
Morgan,1479,3406
Perry,5,18
Pickens,30,63
Pike,360,699
Randolph,85,127
Russell,37,106
Shelby,5112,10252
St. Clair,1145,1968
Sumter,55,50
Talladega,1070,1772
Tallapoosa,397,750
Tuscaloosa,2135,1970
Walker,317,515
Washington,57,51
Wilcox,93,58
Winston,2372,1458
Calculated,79028,130233
Reported,79028,130233
