County,Wm. Branch,"Jim Folsom, Jr."
Autauga,846,4730
Baldwin,1136,5126
Barbour,486,4636
Bibb,550,3158
Blount,794,4274
Bullock,518,2152
Butler,423,3278
Calhoun,2172,12762
Chambers,902,4521
Cherokee,514,3286
Chilton,1044,6550
Choctaw,1163,3886
Clarke,458,4406
Clay,425,2707
Cleburne,634,3285
Coffee,775,5915
Colbert,848,5586
Conecuh,282,3577
Coosa,372,2523
Covington,1033,6857
Crenshaw,286,4041
Cullman,1482,10825
Dale,712,4875
Dallas,2466,5724
Dekalb,1027,7479
Elmore,864,4746
Escambia,884,5202
Etowah,2737,15191
Fayette,718,5194
Franklin,819,5543
Geneva,507,4265
Greene,2979,1616
Hale,566,2699
Henry,595,3794
Houston,1700,10364
Jackson,790,7098
Jefferson,28448,60669
Lamar,855,4210
Lauderdale,1878,10423
Lawrence,595,5368
Lee,1257,5892
Limestone,1498,10374
Lowndes,419,1705
Macon,651,3520
Madison,6500,25183
Marengo,1001,4157
Marion,1491,7585
Marshall,1307,7893
Mobile,10793,36025
Monroe,5517,28456
Montgomery,562,4710
Morgan,2466,14676
Perry,924,2562
Pickens,1845,4913
Pike,660,5464
Randolph,415,2637
Russell,361,1996
Shelby,936,3980
St. Clair,1303,6255
Sumter,2588,2521
Talladega,1496,8418
Tallapoosa,1148,8603
Tuscaloosa,4513,17157
Walker,2093,12976
Washington,1022,5315
Wilcox,1519,3367
Winston,293,1933
Calculated,120861,510814
Reported,120861,510814
