County,"Jim Folsom, Jr. (D)",Don McGriff (R)
Autauga,5816,4215
Baldwin,12240,15879
Barbour,4881,1887
Bibb,3566,1287
Blount,6247,5650
Bullock,3580,835
Butler,4713,2218
Calhoun,17982,10475
Chambers,5807,2717
Cherokee,4943,1218
Chilton,6931,4438
Choctaw,3695,1377
Clarke,5016,3194
Clay,3070,1593
Cleburne,1991,1108
Coffee,6883,4061
Colbert,12101,3681
Conecuh,2784,1109
Coosa,3893,1597
Covington,6303,4243
Crenshaw,3947,1119
Cullman,15563,8878
Dale,5009,4898
Dallas,12218,4339
Dekalb,10114,6440
Elmore,8643,5785
Escambia,4711,3353
Etowah,22065,8076
Fayette,4340,2061
Franklin,5064,2229
Geneva,4132,2498
Greene,3700,596
Hale,3761,1125
Henry,2743,1887
Houston,12980,10426
Jackson,7081,2494
Jefferson,133284,99867
Lamar,2875,1316
Lauderdale,15154,5798
Lawrence,6396,1533
Lee,10044,7732
Limestone,8810,3611
Lowndes,3894,823
Macon,6348,676
Madison,34594,25329
Marengo,5354,2380
Marion,6136,3037
Marshall,10235,6152
Mobile,51407,46572
Monroe,4620,2552
Montgomery,45307,22860
Morgan,19566,11969
Perry,3863,1196
Pickens,4789,1444
Pike,5617,2691
Randolph,4248,1993
Russell,5026,1932
Shelby,10719,15519
St. Clair,6235,6464
Sumter,4533,1021
Talladega,11026,6282
Tallapoosa,6930,3887
Tuscaloosa,24764,12062
Walker,12691,5493
Washington,4261,1558
Wilcox,4118,1065
Winston,4754,4178
Calculated,726111,447978
Reported,726111,447978
