County,Don Siegelman (D),Charlie Graddick (R)
Autauga,6887,4989
Baldwin,15728,17181
Barbour,4556,1965
Bibb,4158,1505
Blount,7647,4903
Bullock,3167,900
Butler,4657,2293
Calhoun,16902,9148
Chambers,6130,3225
Cherokee,3441,1170
Chilton,7216,4180
Choctaw,3541,1420
Clarke,4883,2911
Clay,2908,1537
Cleburne,2210,1048
Coffee,7480,4105
Colbert,10217,4359
Conucuh,3389,1442
Coosa,2435,1042
Covington,5656,4065
Crenshaw,2822,1354
Cullman,14107,8716
Dale,6380,4330
Dallas,10570,3972
Dekalb,8123,5962
Elmore,9495,6927
Escambia,4932,3069
Etowah,21885,8927
Fayette,3754,1876
Franklin,5501,2176
Geneva,4570,2597
Greene,4087,548
Hale,4069,1254
Henry,4208,1433
Houston,13100,8391
Jackson,6045,3017
Jefferson,123758,81954
Lamar,3296,1564
Lauderdale,15497,7382
Lawrence,6487,2184
Lee,11549,8637
Limestone,9165,5967
Lowndes,3630,932
Macon,5108,612
Madison,45810,31946
Marengo,5394,2443
Marion,6406,2824
Marshall,10822,6793
Mobile,52943,40344
Monroe,4105,2639
Montgomery,38970,22249
Morgan,19169,13101
Perry,3745,977
Pickens,5626,1851
Pike,5661,2888
Randolph,2956,1872
Russell,6067,2441
Shelby,15142,18910
St. Clair,9304,7385
Sumter,3458,918
Talladega,11809,6150
Tallapoosa,7379,4799
Tuscaloosa,26403,12404
Walker,12911,5908
Washington,4536,1931
Wilcox,3287,947
Winston,5036,3818
Calculated,732285,442707
Reported,732285,442707
