County,Jim Bacon,Steve Chambers,Bob McKee
Autauga,79,38,161
Baldwin,2079,1656,1805
Barbour,28,4,21
Bibb,175,72,149
Blount,548,381,775
Bullock,0,2,2
Butler,25,15,49
Calhoun,221,284,367
Chambers,33,26,47
Cherokee,27,26,17
Chilton,286,178,300
Choctaw,20,10,15
Clarke,31,13,30
Clay,67,56,42
Cleburne,13,4,6
Coffee,111,28,108
Colbert,79,33,68
Conecuh,12,10,22
Coosa,33,20,41
Covington,51,63,40
Crenshaw,2,10,8
Cullman,499,719,596
Dale,192,77,204
Dallas,124,33,119
Dekalb,178,164,284
Elmore,314,231,785
Escambia,43,45,43
Etowah,217,321,366
Fayette,33,25,36
Franklin,73,42,82
Geneva,82,82,41
Greene,4,0,1
Hale,4,2,8
Henry,19,18,19
Houston,391,314,432
Jackson,83,22,106
Jefferson,7125,8888,24405
Lamar,31,23,34
Lauderdale,217,102,208
Lawrence,5,6,8
Lee,212,116,357
Limestone,108,76,9
Lowndes,3,3,5
Macon,4,9,11
Madison,1036,1966,1474
Marengo,17,2,15
Marion,43,27,54
Marshall,115,55,108
Mobile,2629,3689,2977
Monroe,25,22,14
Montgomery,524,735,2240
Morgan,442,673,511
Perry,12,3,12
Pickens,26,17,42
Pike,41,20,50
Randolph,27,12,39
Russell,98,34,70
Shelby,3015,4835,4475
St. Clair,400,254,477
Sumter,7,2,9
Talladega,229,265,138
Tallapoosa,60,21,65
Tuscaloosa,813,693,738
Walker,186,204,107
Washington,12,11,16
Wilcox,10,6,9
Winston,1371,1004,1025
Calculated,25019,28797,46897
Reported,25019,28797,46897
