County,John Giles,Charlie Graddick
Autauga,883,778
Baldwin,3909,8850
Barbour,44,65
Bibb,110,182
Blount ,572,1033
Bullock,10,22
Butler,85,128
Calhoun,839,1385
Chambers,54,117
Cherokee,23,37
Chilton,552,1043
Choctaw,14,31
Clarke,67,214
Clay,21,48
Cleburne,9,23
Coffee,352,553
Colbert,397,625
Conecuh,25,123
Coosa,69,117
Covington,147,200
Crenshaw,18,49
Cullman,1006,1408
Dale,406,716
Dallas,143,258
Dekalb,435,840
Elmore,1878,1703
Escambia,118,311
Etowah,1404,2399
Fayette,26,65
Franklin,69,109
Geneva,125,248
Greene,0,1
Hale,12,22
Henry,29,69
Houston,1250,2992
Jackson,91,138
Jefferson,19473,33566
Lamar,11,33
Lauderdale,801,1124
Lawrence,83,143
Lee,1060,1183
Limestone,773,967
Lowndes,39,46
Macon,60,67
Madison,9779,8849
Marengo,31,56
Marion,90,237
Marshall,544,592
Mobile,5385,18202
Monroe,104,290
Montgomery,9597,6057
Morgan,2469,2586
Perry,7,16
Pickens,36,88
Pike,344,311
Randolph,47,58
Russell,67,131
Shelby,7057,9974
St. Clair,1308,2259
Sumter,9,24
Talladega,433,1017
Tallapoosa,197,302
Tuscaloosa,1528,2518
Walker,277,613
Washington,11,39
Wilcox,32,43
Winston,1365,2789
Calculated,78209,121082
Reported,78209,121082
