County,John Amari,Steve Windom
Autauga,2530,2829
Baldwin,8008,10956
Barbour,135,196
Bibb,379,307
Blount ,2700,2312
Bullock,14,32
Butler,583,638
Calhoun,2211,2849
Chambers,343,313
Cherokee,86,110
Chilton,2406,2526
Choctaw,78,107
Clarke,253,401
Clay,272,403
Cleburne,91,85
Coffee,1001,1577
Colbert,1297,1418
Conecuh,111,118
Coosa,278,250
Covington,814,1229
Crenshaw,144,153
Cullman,3312,3482
Dale,1053,1888
Dallas,221,294
Dekalb,2355,1595
Elmore,4021,4318
Escambia,695,1082
Etowah,2757,2939
Fayette,253,317
Franklin,339,319
Geneva,452,1354
Greene,14,19
Hale,89,94
Henry,247,532
Houston,2888,5408
Jackson,617,519
Jefferson,35666,28451
Lamar,257,186
Lauderdale,1798,1854
Lawrence,247,259
Lee,4873,5389
Limestone,1638,2085
Lowndes,238,215
Macon,171,155
Madison,11268,13362
Marengo,80,112
Marion,268,347
Marshall,2851,3224
Mobile,12772,24346
Monroe,297,379
Montgomery,12179,11986
Morgan,3898,4781
Perry,108,121
Pickens,176,161
Pike,1039,1597
Randolph,214,255
Russell,431,516
Shelby,10000,7712
St. Clair,5103,4364
Sumter,30,27
Talladega,2101,2034
Tallapoosa,707,922
Tuscaloosa,4587,6421
Walker,1424,1743
Washington,78,125
Wilcox,102,92
Winston,1358,1875
Calculated,159006,178065
Reported,159006,178065
