Unnamed: 0,Gore (D),Browne (L),Bush (R),Buchanan (I),Hagelin (I),Nader (I),Phillips (I),Write-In,Total
,Lieberman,Olivier,Chaney,Foster,Goldhaber,LaDuke,Frazier,,
Autauga,4942,51,11993,43,5,160,9,5.0,17208.0
Baldwin,13997,226,40872,287,14,1033,23,28.0,56480.0
Barbour,2197,18,1860,14,2,20,4,1.0,4116.0
Bibb,2710,20,4273,36,1,52,9,0.0,7101.0
Blount,4977,51,12667,104,5,154,10,5.0,17973.0
Bullock,3395,34,1433,8,4,24,5,1.0,4904.0
Butler,3606,19,4127,9,0,36,3,3.0,7803.0
Calhoun,15781,149,22306,153,13,481,18,8.0,38909.0
Chambers,5616,38,6037,35,5,95,5,3.0,11834.0
Cherokee,3497,27,4154,58,5,77,3,2.0,7823.0
Chilton,4806,53,10066,70,1,92,1,3.0,15092.0
Choctaw,3707,8,3600,17,2,33,3,4.0,7374.0
Clarke,4679,16,5988,28,2,33,4,2.0,10752.0
Clay,2045,32,3719,30,1,52,4,0.0,5883.0
Cleburne,1664,21,3333,32,0,39,0,3.0,5092.0
Coffee,5220,40,9938,61,1,155,17,2.0,15434.0
Colbert,10543,38,10518,201,4,208,9,11.0,21532.0
Conecuh,2783,6,2699,21,3,35,2,2.0,5551.0
Coosa,2104,23,2382,13,4,34,6,1.0,4567.0
Covington,4440,32,8961,42,3,123,9,3.0,13613.0
Crenshaw,1934,9,2793,16,0,40,2,1.0,4795.0
Cullman,9758,59,19157,216,5,282,31,17.0,29525.0
Dale,4906,27,10593,56,4,188,26,6.0,15806.0
Dallas,10967,38,7360,19,4,63,10,3.0,18464.0
Dekalb,7056,124,12827,88,2,175,9,4.0,20285.0
Elmore,6652,87,16777,53,8,212,4,11.0,23804.0
Escambia,4523,13,6975,57,3,78,7,4.0,11660.0
Etowah,17433,117,21087,239,6,435,17,14.0,39348.0
Fayette,3064,21,4582,68,0,60,8,5.0,7808.0
Franklin,4793,17,6119,85,5,72,5,7.0,11103.0
Geneva,2769,38,6588,46,2,97,16,3.0,9559.0
Greene,3504,8,850,3,2,24,4,1.0,4396.0
Hale,4652,17,2984,25,5,43,4,1.0,7731.0
Henry,2782,18,4054,18,4,48,4,4.0,6932.0
Houston,9412,88,22150,121,7,257,9,13.0,32057.0
Jackson,9066,48,8475,118,6,184,5,4.0,17906.0
Jefferson,129889,987,138491,670,81,3393,92,160.0,273763.0
Lamar,2653,6,4470,50,1,57,6,6.0,7249.0
Lauderdale,13875,78,17478,296,10,354,23,23.0,32137.0
Lawrence,6296,22,5671,111,4,63,11,7.0,12185.0
Lee,14574,233,22433,68,11,895,17,33.0,38264.0
Limestone,8992,78,14204,137,6,193,13,11.0,23634.0
Lowndes,4557,11,1638,11,4,18,3,1.0,6243.0
Macon,7665,20,1091,10,6,31,6,2.0,8831.0
Madison,48199,567,62151,322,47,1885,65,82.0,113318.0
Marengo,4841,12,4690,19,2,40,4,0.0,9608.0
Marion,4600,25,6910,77,7,125,7,5.0,11756.0
Marshall,10381,82,17084,157,9,256,10,10.0,27989.0
Mobile,58640,727,78162,532,26,1585,30,43.0,139745.0
Monroe,3741,11,5153,19,0,25,0,2.0,8951.0
Montgomery,40371,293,38827,113,17,677,10,20.0,80328.0
Morgan,16060,118,25774,214,6,450,31,28.0,42681.0
Perry,4020,7,1732,7,2,18,1,0.0,5787.0
Pickens,4143,20,4306,23,1,39,4,4.0,8540.0
Pike,4357,27,6058,17,3,75,4,3.0,10544.0
Randolph,3094,39,4666,48,4,60,8,0.0,7919.0
Russell,8396,30,6198,31,4,109,3,4.0,14775.0
St. Clair,6485,87,17117,144,5,221,21,10.0,24090.0
Shelby ,13183,281,47651,123,13,812,39,26.0,62128.0
Sumter,4415,10,1629,7,0,20,5,2.0,6088.0
Talladega,11264,75,13807,107,2,184,7,5.0,25451.0
Tallapoosa,6183,47,9805,44,11,153,4,6.0,16253.0
Tuscaloosa,24614,251,34003,193,18,1007,28,0.0,60114.0
Walker,11621,70,13486,177,5,264,8,10.0,25641.0
Washington,3386,22,4117,39,2,26,3,1.0,7596.0
Wilcox,3444,4,1661,4,0,6,2,5.0,5126.0
Winston,2692,22,6413,91,2,88,5,5.0,9318.0
Totals,692611,5893,941173,6351,447,18323,775,699.0,1666272.0
%,0.4156650294789806,0.0035366374757542585,0.5648375535326765,0.0038115025638071095,0.0002682635248026733,0.010996403948454993,0.0004651101380806975,0.00041949933744310654,
