Unnamed: 0,Rarick(ACP),Carter(D),Clark(L),Reagan(R),Bubar(AS),Commoner(CP),Hall(C)
,Shearer,Mondale,Koch,Bush,Dodge,Harris,Davis
Autauga,216,4295,119,6292,9,0,2
Baldwin,272,8448,465,18652,20,13,22
Barbour,202,4458,80,4171,6,7,2
Bibb,5,3097,8,2491,0,0,0
Blount,37,5656,92,6819,9,1,15
Bullock,158,3960,33,1446,0,1,2
Butler,205,4156,107,3810,14,5,4
Calhoun,90,17017,286,17475,98,39,47
Chambers,145,6649,96,4864,4,3,3
Cherokee,51,3764,70,2482,4,1,1
Chilton,17,4706,46,6615,27,1,1
Choctaw,5,3680,14,2859,0,0,0
Clarke,197,5249,84,5059,11,2,1
Clay,34,2858,41,2764,10,3,1
Cleburne,21,2050,27,2389,1,0,2
Coffee,153,6140,137,6760,9,2,0
Colbert,315,12550,226,6619,16,5,35
Conecuh,48,3102,36,2948,11,1,2
Coosa,55,2383,25,1714,8,2,2
Covington,55,6305,70,7014,36,4,5
Crenshaw,11,2704,14,2478,9,1,0
Cullman,81,11525,124,10212,59,6,2
Dale,112,4936,130,7247,4,4,1
Dallas,412,9770,164,7647,12,5,1
Dekalb,8,8820,51,9673,27,3,0
Elmore,219,5947,140,8688,12,4,3
Escambia,91,5148,136,6513,57,7,6
Etowah,147,20790,234,16177,72,11,6
Fayette,4,3389,23,3315,11,0,0
Franklin,30,6136,66,4448,15,6,3
Geneva,45,4703,45,4747,14,1,1
Greene,6,3474,7,1034,0,1,0
Hale,224,3583,35,2074,1,1,1
Henry,29,2973,26,2813,2,7,3
Houston,104,7848,132,14884,61,4,8
Jackson,185,8776,176,4897,8,2,2
Jefferson,4054,113069,3243,132612,240,117,1150
Lamar,5,3366,15,2778,5,0,0
Lauderdale,363,15379,496,10467,8,11,45
Lawrence,30,6112,54,2456,19,1,0
Lee,290,9606,421,10982,8,19,0
Limestone,258,8180,172,4574,11,3,0
Lowndes,172,3577,27,1524,6,1,2
Macon,366,7028,38,1259,4,1,21
Madison,713,30469,900,30604,29,57,11
Marengo,255,5178,113,4048,7,2,12
Marion,3,5450,28,5182,14,0,0
Marshall,254,10854,362,8159,10,4,5
Mobile,563,46180,899,67515,371,59,26
Monroe,51,4262,71,4615,21,4,2
Montgomery,1149,28018,503,35745,42,24,5
Morgan,297,14703,444,13214,14,7,60
Perry,7,4208,13,2262,3,0,1
Pickens,9,4504,22,3582,0,1,2
Pike,158,4417,74,5220,3,1,11
Randolph,169,3378,168,3279,14,2,13
Russell,522,8123,213,4485,8,2,1
St. Clair,190,5236,322,7768,8,2,3
Shelby ,183,7396,290,14957,13,7,2
Sumter,8,5015,16,2104,4,4,0
Talladega,99,10159,153,9902,79,8,49
Tallapoosa,161,7260,88,5958,8,2,11
Tuscaloosa,582,19103,397,19750,37,22,11
Walker,96,13616,152,8795,77,2,2
Washington,2,3520,31,3045,3,0,0
Wilcox,7,4951,8,2280,2,0,0
Winston,5,3368,20,4981,18,1,0
Totals,15010,636730,13318,654192,1743,517,1629
% of Total =,0.011185390583257385,0.47448859067804633,0.00992451910645049,0.4875012016284021,0.001298876468129089,0.0003852662845798846,0.0012139241345853619
Total Vote=,1341929, ,,,,,
, ,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,, -,,,,
