Unnamed: 0,Clinton(D),Browne(L),Dole(R),Hagelin(NL),Harris(I),Perot(I),Phillips(I),Total
,Gore,Jorgensen,Kemp,Tompkins,Garza,Choate,Titus,
Autauga,5015,39,9509,10,4,813,18,15408.0
Baldwin,12776,170,29487,37,11,4520,63,47064.0
Barbour,4787,16,3627,1,1,515,4,8951.0
Bibb,2775,10,3037,3,2,455,19,6301.0
Blount,5061,156,9056,13,13,985,43,15327.0
Bullock,3078,23,1154,8,4,111,2,4380.0
Butler,3828,19,3352,7,0,538,11,7755.0
Calhoun,15725,208,18088,186,10,2613,81,36911.0
Chambers,5515,35,4707,9,4,812,10,11092.0
Cherokee,4399,55,3048,4,7,899,9,8421.0
Chilton,5354,34,7910,8,2,929,27,14264.0
Choctaw,4074,8,2623,3,6,413,4,7131.0
Clarke,4831,15,4785,2,3,478,4,10118.0
Clay,2306,13,2694,3,7,538,7,5568.0
Cleburne,1737,36,2063,6,11,385,3,4241.0
Coffee,5168,121,7805,12,3,1042,8,14159.0
Colbert,10226,35,8305,12,3,1696,30,20307.0
Conecuh,2903,7,2093,6,1,445,4,5459.0
Coosa,2121,17,1721,2,1,262,5,4129.0
Covington,4543,104,6035,103,6,1098,24,11913.0
Crenshaw,2172,14,1939,3,0,317,2,4447.0
Cullman,9544,52,14308,14,6,2440,189,26553.0
Dale,4732,34,8288,10,5,1216,33,14318.0
Dallas,10507,31,6612,6,6,477,9,17648.0
Dekalb,6544,96,9823,25,19,1609,20,18136.0
Elmore,6530,67,12937,10,6,1368,13,20931.0
Escambia,4651,140,5214,163,6,867,63,11104.0
Etowah,17976,87,16835,29,14,2529,49,37519.0
Fayette,3381,12,3191,3,3,590,19,7199.0
Franklin,5028,15,4449,6,2,966,8,10474.0
Geneva,3174,78,4725,125,2,857,22,8983.0
Greene,3526,11,796,16,4,55,16,4424.0
Hale,3372,7,1893,3,2,190,4,5471.0
Henry,3019,9,3082,3,0,515,6,6634.0
Houston,8791,61,17476,16,8,1653,40,28045.0
Jackson,8204,85,5650,11,5,1573,28,15556.0
Jefferson,120208,699,130980,179,68,7997,421,260552.0
Lamar,2843,7,2955,1,2,597,5,6410.0
Lauderdale,13619,85,14058,27,9,2574,40,30412.0
Lawrence,5254,8,3893,3,1,964,14,10137.0
Lee,12919,223,17985,36,11,1949,24,33147.0
Limestone,8045,63,10862,11,4,1659,26,20670.0
Lowndes,3970,20,1369,6,2,72,2,5441.0
Macon,7018,28,987,8,8,150,4,8203.0
Madison,42259,450,50390,96,32,7437,194,100858.0
Marengo,4899,32,4013,5,6,337,2,9294.0
Marion,5049,9,4742,8,4,979,33,10824.0
Marshall,8722,64,12323,13,3,2150,16,23291.0
Mobile,54749,555,66775,168,36,7555,111,129949.0
Monroe,3815,7,4382,1,2,486,3,8696.0
Montgomery,38382,357,37784,84,22,2036,31,78696.0
Morgan,14616,121,21765,21,17,3348,88,39976.0
Perry,4053,21,1703,0,2,119,3,5901.0
Pickens,4018,15,3322,4,5,403,5,7772.0
Pike,4514,17,5281,5,3,503,10,10333.0
Randolph,3023,31,3304,2,0,603,6,6969.0
Russell,7834,21,5025,5,6,792,4,13687.0
St. Clair,6187,46,12762,12,9,1417,39,20472.0
Shelby ,11280,137,37090,28,14,2035,127,50711.0
Sumter,4706,9,1561,3,2,172,3,6456.0
Talladega,10385,48,10931,14,8,1335,47,22768.0
Tallapoosa,6071,39,7627,12,5,1038,10,14802.0
Tuscaloosa,23067,180,27939,45,21,3048,82,54382.0
Walker,12929,39,9837,9,12,2012,76,24914.0
Washington,3935,13,2900,9,10,819,6,7692.0
Wilcox,3303,14,1454,2,2,71,1,4847.0
Winston,3120,12,4728,2,3,723,35,8623.0
Totals,662165,5290,769044,1697,516,92149,2365,1533226.0
%,0.4318769705183711,0.0034502415169061834,0.5015855457708126,0.0011068166075973145,0.00033654529730124585,0.060101381009714155,0.0015424992792973768,
Total Vote=,1533226,,,, ,,,
