General Election,Unnamed: 1,Unnamed: 2,Treasurer,Unnamed: 4
,,,Segrest (D),Ivey (R)
,,Total,471570,724861
,,Margin,0.21170548071723316,
,,Autauga,3237,10423
,,Baldwin,10054,34187
,,Barbour,2864,3089
,,Bibb,1777,3558
,,Blount,3698,10054
,,Bullock,2025,980
,,Butler,2492,3921
,,Calhoun,10500,17614
,,Chambers,4449,4198
,,Cherokee,3136,3367
,,Chilton,3438,8000
,,Choctaw,2567,1931
,,Clarke,3817,4534
,,Clay,1705,2802
,,Cleburne,1302,2364
,,Coffee,3754,8731
,,Colbert,7867,7276
,,Conecuh,1945,2093
,,Coosa,2056,2057
,,Covington,3043,7215
,,Crenshaw,1401,2630
,,Cullman,8102,16482
,,Dale,3442,8356
,,Dallas,7596,6062
,,DeKalb,6175,10120
,,Elmore,4833,15543
,,Escambia,3121,5064
,,Etowah,12121,15992
,,Fayette,2380,3119
,,Franklin,3575,3500
,,Geneva,1809,4985
,,Greene,2921,853
,,Hale,2941,2053
,,Henry,2121,3172
,,Houston,7070,17880
,,Jackson,5853,5993
,,Jefferson,79306,95267
,,Lamar,2166,2185
,,Lauderdale,10494,13043
,,Lawrence,5110,4282
,,Lee,9880,16310
,,Limestone,6810,11623
,,Lowndes,2634,1441
,,Macon,4621,1008
,,Madison,29678,50553
,,Marengo,3544,3348
,,Marion,3786,4531
,,Marshall,6839,15292
,,Mobile,35279,54198
,,Monroe,2922,4779
,,Montgomery,27105,33418
,,Morgan,10202,21496
,,Perry,2798,1366
,,Pickens,2946,2943
,,Pike,2724,4977
,,Randolph,2714,3016
,,Russell,5431,3756
,,St Clair,4611,14045
,,Shelby,9331,38130
,,Sumter,3617,1513
,,Talladega,8236,10525
,,Tallapoosa,4603,7808
,,Tuscaloosa,16955,24738
,,Walker,8190,9495
,,Washington,2668,2937
,,Wilcox,2914,1433
,,Winston,2269,5207
