Unnamed: 0,Treasurer,Unnamed: 2,Unnamed: 3
General Election 2010,Grimsley (D),Boozer (R),Write-In
,581930,875965,1030
,0.20154223143753106,,
Autauga,4212,13595,11
Baldwin,10179,46912,42
Barbour,4349,3755,0
Bibb,2117,4158,5
Blount,3570,12882,18
Bullock,2771,1046,
Butler,3026,3904,6
Calhoun,11766,21045,34
Chambers,4947,4982,2
Cherokee,2708,4176,5
Chilton,3698,9570,3
Choctaw,3532,2609,3
Clarke,4649,5730,2
Clay,1927,3081,5
Cleburne,1357,3464,7
Coffee,4413,10389,13
Colbert,7862,8463,7
Conecuh,2533,2558,5
Coosa,2131,2163,0
Covington,2722,9079,10
Crenshaw,1736,3538,1
Cullman,7905,21079,26
Dale,4417,9151,6
Dallas,10396,5074,7
DeKalb,7078,12230,
Elmore,5986,20042,20
Escambia,3441,6893,6
Etowah,12400,18702,36
Fayette,3588,2373,2
Franklin,3847,4320,11
Geneva,2816,6528,8
Greene,3632,616,3
Hale,4161,2147,5
Henry,2764,3819,10
Houston,11467,20212,27
Jackson,5872,8646,9
Jefferson,104564,104907,145
Lamar,1880,2840,5
Lauderdale,11099,15745,21
Lawrence,5358,5742,5
Lee,12581,20436,29
Limestone,8287,16871,22
Lowndes,3672,1485,1
Macon,6255,1163,2
Madison,41655,64125,84
Marengo,4751,3897,5
Marion,3271,5216,5
Marshall,6955,17835,16
Mobile,44117,65606,36
Monroe,3086,4375,6
Montgomery,38544,34607,53
Morgan,11593,26615,38
Perry ,3231,1175,1
Pickens,3942,3277,5
Pike,3661,5874,3
Randolph,2577,4167,4
Russell,6370,4880,6
St. Clair,5709,18597,23
Shelby,13150,49335,61
Sumter,4232,1223,6
Talladega,10457,13121,18
Tallapoosa,5493,9923,0
Tuscaloosa,22818,30274,44
Walker,8805,13120,24
Washington,2311,3603,2
Wilcox,3483,1309,0
Winston,2048,5691,5
