County,"George Wallace, Jr. (D)"
Autauga,6956
Baldwin,13339
Barbour,5315
Bibb,4191
Blount ,6728
Bullock,3210
Butler,5042
Calhoun,16611
Chambers,5714
Cherokee,3746
Chilton,8810
Choctaw,4050
Clarke,5354
Clay,2498
Cleburne,2029
Coffee,6763
Colbert,10423
Conecuh,3082
Coosa,2950
Covington,6589
Crenshaw,2834
Cullman,12665
Dale,6101
Dallas,11264
Dekalb,10712
Elmore,8866
Escambia,4715
Etowah,22996
Fayette,5556
Franklin,6140
Geneva,4531
Greene,3295
Hale,3766
Henry,3391
Houston,14917
Jackson,6594
Jefferson,140821
Lamar,3394
Lauderdale,13996
Lawrence,5210
Lee,10927
Limestone,9780
Lowndes,3073
Macon,5620
Madison,45415
Marengo,5383
Marion,7904
Marshall,9342
Mobile,56843
Monroe,3812
Montgomery,46588
Morgan,19767
Perry,3614
Pickens,4672
Pike,5911
Randolph,3431
Russell,6031
Shelby,16496
St. Clair,9839
Sumter,4597
Talladega,11672
Tallapoosa,8205
Tuscaloosa,28013
Walker,14525
Washington,4896
Wilcox,3807
Winston,5180
Calculated,770507
Reported,770507
