Unnamed: 0,Treasurer,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Boozer,Wallace,,,
Autauga,5392,3562,,,
Baldwin,22975,6709,,,
Barbour,314,322,,,
Bibb,1538,1563,,,
Blount,5541,3645,,,
Bullock,68,63,,,
Butler,1077,634,,,
Calhoun,5607,3251,,,
Chambers,595,1513,,,
Cherokee,787,551,,,
Chilton,4037,3422,,,
Choctaw,57,108,,,
Clarke,1319,671,,,
Clay,611,542,,,
Cleburne,857,1139,,,
Coffee,4318,3777,,,
Colbert,1684,1052,,, 
Conecuh,339,173,,,
Coosa,546,376,,,
Covington,2955,2231,,,
Crenshaw,369,297,,,
Cullman,7907,4999,,,
Dale,2825,2676,,,
Dallas,256,162,,,
DeKalb,2422,1649,,,
Elmore,6502,4862,,,
Escambia,2362,1223,,,
Etowah,6836,4665,,,
Fayette,513,328,,,
Franklin,565,500,,,
Geneva,2422,2690,,,
Greene,95,90,,,
Hale,290,248,,,
Henry,977,901,,,
Houston,7599,5547,,,
Jackson,1687,1047,,,
Jefferson,41349,17163,,,
Lamar,161,233,,,
Lauderdale,3605,2129,,,
Lawrence,1128,867,,,
Lee,6853,5047,,,
Limestone,4950,2682,,,
Lowndes,261,222,,,
Macon,237,146,,,
Madison,25179,10352,,,
Marengo,182,187,,,
Marion,1134,688,,,
Marshall,7664,3971,,,
Mobile,27724,8310,,,
Monroe,1604,780,,,
Montgomery,13519,7651,,,
Morgan,12340,7572,,,
Perry ,159,208,,,
Pickens,421,347,,,
Pike,2203,1435,,,
Randolph,484,723,,,
Russell,233,421,,,
St. Clair,17429,8197,,,
Shelby,7205,4331,,,
Sumter,13,48,,,
Talladega,3927,2668,,,
Tallapoosa,3274,1930,,,
Tuscaloosa,10896,5938,,,
Walker,3539,2392,,,
Washington,261,112,,,
Wilcox,156,108,,,
Winston,3133,2160,,,
,305467,166206,,,
,0.6476245195294198,0.4181293537845378,,,
