Country,Jeremiah Denton ,Richard Vickers
Autauga,91,17
Baldwin,1721,219
Barbour,23,2
Bibb,12,3
Blount,261,25
Bullock,5,1
Butler,22,0
Calhoun,390,66
Chambers,59,10
Cherokee,27,6
Chilton,252,19
Choctaw,12,0
Clarke,25,2
Clay,13,3
Cleburne,48,10
Coffee,122,15
Colbert,68,6
Conecuh,13,0
Coosa,53,9
Covington,29,6
Crenshaw,10,3
Cullman,523,60
Dale,135,21
Dallas,98,9
Dekalb,693,45
Elmore,123,17
Escambia,50,11
Etowah,220,32
Fayette,21,1
Franklin,39,4
Geneva,23,5
Greene,0,0
Hale,14,0
Henry,11,2
Houston,392,110
Jackson,46,1
Jefferson,8469,1014
Lamar,13,0
Lauderdale,496,39
Lawrence,5,0
Lee ,220,23
Limestone,92,7
Lowndes,10,0
Macon,12,1
Madison,2248,366
Marengo,31,3
Marion,28,3
Marshall,0,0
Mobile,4778,498
Monroe,42,7
Montgomery,2610,475
Morgan,303,43
Perry,11,0
Pickens,6,0
Pike,26,1
Randolph,51,5
Russell,41,2
Shelby,1267,133
St. Clair,249,24
Sumter,6,1
Talladega,250,45
Tallapoosa,55,7
Tuscaloosa,727,124
Walker,255,31
Washington,13,2
Wilcox,4,1
Winston,1747,246
Calculated,29709,3841
Reported,29805,3854
