Country,Richard Shelby (D),Richard Sellers (R),Jerome Shockley (L)
Autauga,9012,4279,242
Baldwin,21036,19258,1094
Barbour,5783,2087,145
Bibb,4877,1698,78
Blount,8311,5974,421
Bullock,3564,480,43
Butler,5305,1655,99
Calhoun,22735,14190,1033
Chambers,8187,3942,269
Cherokee,5004,1372,166
Chilton,9636,4409,174
Choctaw,5069,1195,30
Clarke,6655,3260,115
Clay,3061,1309,142
Cleburne,2560,1354,119
Coffee,10222,3420,236
Colbert,16589,4965,321
Conecuh,3679,980,96
Coosa,3452,1142,110
Covington,7835,2703,368
Crenshaw,3484,777,89
Cullman,17366,10380,639
Dale,9096,4341,249
Dallas,15493,3275,147
Dekalb,11176,7515,477
Elmore,13288,6078,378
Escambia,6268,3874,300
Etowah,29183,11289,851
Fayette,6184,1960,112
Franklin,8215,3021,208
Geneva,5629,1802,304
Greene,4155,371,20
Hale,4227,861,63
Henry,3533,1162,80
Houston,18918,9651,384
Jackson,11396,3973,355
Jefferson,178070,109615,5085
Lamar,4318,2015,126
Lauderdale,23521,8509,584
Lawrence,9103,1971,174
Lee ,15983,13684,925
Limestone,13703,6657,488
Lowndes,3748,597,55
Macon,6818,700,221
Madison,66537,35311,3077
Marengo,8019,1747,80
Marion,8946,3650,241
Marshall,14665,7790,635
Mobile,80566,50731,3094
Monroe,5276,3084,140
Montgomery,55442,22838,1331
Morgan,26110,15645,1100
Perry,4215,992,63
Pickens,5616,1980,107
Pike,7278,2073,105
Randolph,4079,2219,187
Russell,9066,3831,283
Shelby,22118,24470,755
St. Clair,11528,9318,409
Sumter,5980,785,47
Talladega,13594,8319,466
Tallapoosa,10042,4839,226
Tuscaloosa,40937,15136,1020
Walker,21262,7037,490
Washington,6209,1541,129
Wilcox,4269,844,22
Winston,5497,4085,189
Calculated,1022698,522015,31811
Reported,1022698,522015,31811
