County,Bedford (D),Thornton (L),Sessions (R),Hebner (NL),Write In
Autauga,5050,271,9728,87,17
Baldwin,13296,807,32060,365,26
Barbour,4674,56,4017,46,2
Bibb,3067,67,3078,47,0
Blount,5228,0,8814,79,0
Bullock,2705,79,1144,26,0
Butler,3823,108,3665,30,1
Calhoun,15385,563,18301,349,0
Chambers,5313,121,5222,85,6
Cherokee,4369,165,2929,49,0
Chilton,5546,196,8144,92,6
Choctaw,3941,40,2934,33,0
Clarke,4811,59,5022,20,0
Clay,2499,83,2758,55,0
Cleburne,1479,85,1940,50,0
Coffee,5630,238,7611,113,0
Colbert,12421,156,7508,118,7
Conecuh,2960,60,2311,36,0
Coosa,2145,50,1823,34,0
Covington,4649,230,6392,109,1
Crenshaw,2211,39,2123,19,0
Cullman,11396,537,14033,329,0
Dale,5680,163,8109,109,8
Dallas,10087,150,6937,65,8
Dekalb,7054,284,9468,69,1
Elmore,6778,431,13269,114,10
Escambia,4309,190,5415,144,0
Etowah,19660,446,16891,228,19
Fayette,3720,72,3287,59,5
Franklin,6765,88,3554,42,6
Geneva,3784,169,4311,75,0
Greene,3284,30,844,19,0
Hale,3436,29,1860,20,3
Henry,3117,69,3129,28,3
Houston,10143,268,17180,133,9
Jackson,8076,244,5570,88,0
Jefferson,121232,3236,132892,1249,221
Lamar,3664,70,2549,41,0
Lauderdale,16253,340,13353,199,14
Lawrence,6331,117,3548,52,0
Lee,12115,962,18940,220,38
Limestone,8794,269,11056,147,9
Lowndes,3684,73,1343,19,0
Macon,6455,106,954,26,0
Madison,41041,1981,53456,688,0
Marengo,4812,114,3957,29,0
Marion,6188,108,4424,58,0
Marshall,9818,341,12573,162,5
Mobile,52917,1928,71675,587,24
Monroe,3721,50,4767,31,1
Montgomery,36754,1412,39020,300,29
Morgan,16337,617,22139,354,23
Perry,3885,53,1721,11,0
Pickens,4230,69,3285,47,1
Pike,4633,95,5361,49,2
Randolph,2973,94,3526,47,0
Russell,7389,161,5231,121,7
Shelby,11638,720,37613,306,62
St. Clair,6816,302,13042,126,11
Sumter,4607,34,1681,23,0
Talladega,10747,206,11296,135,15
Tallapoosa,6285,207,7927,96,11
Tuscaloosa,24235,831,28297,381,0
Walker,14538,235,9917,149,15
Washington,4134,76,3267,47,3
Wilcox,3105,27,1621,7,1
Winston,3829,73,4624,52,3
Calculated,681651,21550,786436,9123,633
Reported,681651,21550,786436,9123,633
