County,Jimmy Blake,Walter Clark,Albert Lipscomb,Sid McDonald,Frank McRight,Jeff Sessions,Charles Woods
Autauga,80,232,72,415,146,1679,613
Baldwin,100,100,3286,685,1862,4567,1494
Barbour,13,16,6,41,12,123,55
Bibb,50,50,9,102,16,238,66
Blount,183,236,24,654,90,611,225
Bullock,2,4,0,2,5,13,4
Butler,3,7,4,53,18,242,67
Calhoun,208,293,172,747,371,1596,320
Chambers,53,52,17,70,23,280,77
Cherokee,16,11,6,27,5,50,14
Chilton,157,256,26,411,67,973,357
Choctaw,12,7,3,9,8,440,43
Clarke,6,14,10,45,47,342,62
Clay,18,33,2,128,18,181,101
Cleburne,11,14,7,14,7,57,19
Coffee,80,113,50,243,122,1011,377
Colbert,41,81,16,322,54,520,197
Conecuh,0,8,3,9,3,47,18
Coosa,24,9,9,41,9,94,50
Covington,22,49,28,97,45,428,148
Crenshaw,7,13,5,44,8,166,51
Cullman,246,326,112,1660,114,1048,555
Dale,39,117,31,210,51,1050,610
Dallas,14,42,7,42,137,270,71
Dekalb,60,97,40,534,38,389,172
Elmore,118,360,82,554,191,1757,810
Escambia,18,21,35,73,63,360,98
Etowah,292,256,54,1191,203,1647,380
Fayette,7,24,9,70,11,115,65
Franklin,1,20,6,57,6,156,48
Geneva,37,35,21,137,21,422,261
Greene,5,0,0,1,0,10,1
Hale,11,44,4,47,10,164,36
Henry,4,11,1,23,3,194,54
Houston,79,210,32,478,53,1826,560
Jackson,16,48,20,139,121,106,45
Jefferson,5742,4747,301,11130,4735,12060,2180
Lamar,6,11,3,21,4,88,28
Lauderdale,53,138,34,547,125,935,352
Lawrence,11,35,4,71,16,95,53
Lee ,316,190,181,450,357,1690,502
Limestone,167,287,29,773,178,683,307
Lowndes,54,21,14,53,20,213,54
Macon,6,9,4,5,7,59,19
Madison,1014,2310,783,8042,3430,5605,2247
Marengo,28,90,17,63,67,540,92
Marion,48,54,11,207,25,297,144
Marshall,118,231,68,1752,141,586,279
Mobile,361,306,1248,1075,4632,12175,2218
Monroe,3,12,16,33,35,449,87
Montgomery,630,1132,303,2145,925,5346,1165
Morgan,160,565,83,2055,476,1754,606
Perry,6,23,1,1,5,39,2
Pickens,16,22,6,52,15,132,43
Pike,19,54,20,239,43,667,279
Randolph,34,18,16,36,4,104,32
Russell,38,24,24,25,15,210,91
Shelby,2917,3577,295,4645,1612,6374,1870
St. Clair,366,428,42,734,160,1311,380
Sumter,6,4,2,6,1,33,4
Talladega,217,258,43,664,260,1198,474
Tallapoosa,48,84,30,232,78,567,329
Tuscaloosa,413,568,73,1019,449,3261,945
Walker,143,120,21,321,43,495,202
Washington,2,13,7,13,10,106,63
Wilcox,1,6,2,13,26,543,22
Winston,409,199,82,1523,112,1586,1216
Calculated,15385,18745,7972,47320,21964,82373,24409
Reported,15305,18513,7600,47320,21818,80694,23796
