 ,United States Senator,Unnamed: 2
 ,Julian McPhillips,Susan Parker
County,,
Autauga,601,575
Baldwin,767,968
Barbour,459,658
Bibb,261,484
Blount,99,414
Bullock,1251,1198
Butler,2083,2425
Calhoun,543,2100
Chambers,681,1126
Cherokee,1120,2950
Chilton,351,643
Choctaw,1366,2800
Clarke,1747,1620
Clay,605,1534
Cleburne,737,1903
Coffee,590,1188
Colbert,1005,2438
Conecuh,366,632
Coosa,489,1072
Covington,1369,2089
Crenshaw,1030,1548
Cullman,615,1539
Dale,436,810
Dallas,4203,5975
DeKalb,1161,2973
Elmore,799,686
Escambia,389,512
Etowah,974,2648
Fayette,1255,3765
Franklin,917,3201
Geneva,125,190
Greene,662,2397
Hale,2321,1857
Henry,450,694
Houston,406,726
Jackson,291,932
Jefferson,15366,33792
Lamar,471,1400
Lauderdale,1536,5861
Lawrence,1479,5589
Lee,618,1236
Limestone,185,1849
Lowndes,2147,1541
Macon,2039,1149
Madison,2744,7646
Marengo,1395,2589
Marion,1227,5039
Marshall,645,1844
Mobile,6376,5030
Monroe,942,999
Montgomery,8785,5114
Morgan,790,4916
Perry ,994,2505
Pickens,962,2288
Pike,409,437
Randolph,643,1524
Russell,248,298
St. Clair,229,572
Shelby,259,1148
Sumter,873,3021
Talladega,525,1606
Tallapoosa,545,1034
Tuscaloosa,2917,7091
Walker,2482,6003
Washington,2290,2013
Wilcox,1782,1604
Winston,187,574
,,
,,
Totals,94614,176582
Percentage,0.34887682709184503,0.651123172908155
Vote Totals,271196,271196
