Unnamed: 0,Unnamed: 1,County,US Senate,Unnamed: 4,Unnamed: 5
,,,Vivian Davis Figures - D,Jeff Sessions - R,Write-Ins
,,Autauga,5316,17941,31
,,Baldwin,16456,63685,132
,,Barbour,5435,5772,20
,,Bibb,2267,6276,5
,,Blount,3558,20286,46
,,Bullock,3734,1466,3
,,Butler,3895,5600,9
,,Calhoun,15733,32461,64
,,Chambers,6683,7759,9
,,Cherokee,2616,6820,13
,,Chilton,3698,13733,30
,,Choctaw,3530,4103,2
,,Clarke,5605,7532,7
,,Clay,1780,4827,2
,,Cleburne,1326,4823,12
,,Coffee,4616,15109,33
,,Colbert,9297,14864,21
,,Conecuh,3234,3519,7
,,Coosa,2169,3250,6
,,Covington,2979,12413,19
,,Crenshaw,1809,4319,3
,,Cullman,6112,28704,66
,,Dale,4843,14026,25
,,Dallas,13168,7281,11
,,DeKalb,5565,17777,15
,,Elmore,7283,26458,38
,,Escambia,4816,9446,17
,,Etowah,13925,30128,64
,,Fayette,2090,5700,
,,Franklin,3248,8091,12
,,Geneva,1960,9441,22
,,Greene,4172,994,2
,,Hale,4678,3286,12
,,Henry,2840,5543,13
,,Houston,11192,29686,70
,,Jackson,6060,13838,36
,,Jefferson,154495,159091,215
,,Lamar,1784,4955,
,,Lauderdale,12012,25249,82
,,Lawrence,4936,9315,31
,,Lee,19806,33168,118
,,Limestone,8198,24567,69
,,Lowndes,4993,2009,6
,,Macon,8745,1876,4
,,Madison,52363,97185,196
,,Marengo,5528,5613,9
,,Marion,2817,9200,20
,,Marshall,5754,26752,53
,,Mobile,77292,102043,81
,,Monroe,4626,6457,12
,,Montgomery,56956,45962,70
,,Morgan,11630,37987,74
,,Perry,4223,1808,4
,,Pickens,4415,5387,4
,,Pike,5363,8298,9
,,Randolph,3116,6684,7
,,Russell,9901,8263,44
,,Shelby,17609,71691,168
,,St. Clair,6001,27538,55
,,Sumter,5042,1823,2
,,Talladega,13449,20184,56
,,Tallapoosa,5806,12997,28
,,Tuscaloosa,30663,46642,72
,,Walker,8177,20021,24
,,Washington,2990,5587,8
,,Wilcox,4309,1983,1
,,Winston,1704,8091,18
,,TOTAL,752391,1305383,2417
