Unnamed: 0,U.S. Senate,Unnamed: 2,Unnamed: 3
,Barnes (D),Shelby (R),Write-In
Total,515619,968181,1699
Margin,0.30465318387962564,,
Autauga,3978,13980,16
Baldwin,11027,46471,94
Barbour,4030,4242,2
Bibb,1569,4849,9
Blount,2448,14296,19
Bullock,2720,1146,
Butler,2888,4145,6
Calhoun,10046,23643,35
Chambers,4705,5594,6
Cherokee,2111,5021,9
Chilton,2735,10801,21
Choctaw,3108,3510,2
Clarke,4483,6063,11
Clay,1401,3829,3
Cleburne,1068,4009,10
Coffee,3348,11759,23
Colbert,6781,9920,9
Conecuh,2444,2752,4
Coosa,1911,2482,1
Covington,2313,9785,20
Crenshaw,1572,3837,2
Cullman,5752,23918,55
Dale,3274,10557,34
Dallas,10248,5372,7
DeKalb,5410,14520,
Elmore,5555,20689,23
Escambia,3307,7236,23
Etowah,9647,22124,45
Fayette,1583,4417,8
Franklin,2992,5572,10
Geneva,1738,7817,17
Greene,3507,796,2
Hale,3895,2568,4
Henry,2226,4493,21
Houston,8234,24218,40
Jackson,4589,10507,23
Jefferson,98773,113144,233
Lamar,1236,3647,5
Lauderdale,9389,18374,31
Lawrence,4381,7060,10
Lee,12187,21484,54
Limestone,6326,19505,23
Lowndes,3647,1581,4
Macon,6218,1272,3
Madison,34909,73003,103
Marengo,4462,4359,9
Marion,2172,6608,12
Marshall,4649,20836,46
Mobile,44468,65958,90
Monroe,3052,4474,5
Montgomery,37924,35586,64
Morgan,9257,29718,37
Perry,3177,1265,1
Pickens,3077,4341,3
Pike,3559,6094,9
Randolph,2270,4902,5
Russell,6091,5365,13
St Clair,4075,20560,46
Shelby,10871,52309,125
Sumter,4110,1440,3
Talladega,9039,14909,30
Tallapoosa,5332,10336,0
Tuscaloosa,18743,35459,76
Walker,6470,15916,26
Washington,2181,3864,7
Wilcox,3482,1366,3
Winston,1449,6508,9
