"county","precinct","office","district","party","candidate","votes"
"Autauga","","Governor","","DEM","Don Siegelman","5972"
"Autauga","","Governor","","REP","Fob James","7233"
"Baldwin","","Governor","","DEM","Don Siegelman","17389"
"Baldwin","","Governor","","REP","Fob James","21004"
"Barbour","","Governor","","DEM","Don Siegelman","5876"
"Barbour","","Governor","","REP","Fob James","3232"
"Bibb","","Governor","","DEM","Don Siegelman","3128"
"Bibb","","Governor","","REP","Fob James","2508"
"Blount","","Governor","","DEM","Don Siegelman","6311"
"Blount","","Governor","","REP","Fob James","7229"
"Bullock","","Governor","","DEM","Don Siegelman","3333"
"Bullock","","Governor","","REP","Fob James","1009"
"Butler","","Governor","","DEM","Don Siegelman","3671"
"Butler","","Governor","","REP","Fob James","3295"
"Calhoun","","Governor","","DEM","Don Siegelman","19939"
"Calhoun","","Governor","","REP","Fob James","11820"
"Chambers","","Governor","","DEM","Don Siegelman","5629"
"Chambers","","Governor","","REP","Fob James","4024"
"Cherokee","","Governor","","DEM","Don Siegelman","4038"
"Cherokee","","Governor","","REP","Fob James","1915"
"Chilton","","Governor","","DEM","Don Siegelman","5975"
"Chilton","","Governor","","REP","Fob James","6767"
"Choctaw","","Governor","","DEM","Don Siegelman","3364"
"Choctaw","","Governor","","REP","Fob James","2106"
"Clarke","","Governor","","DEM","Don Siegelman","4767"
"Clarke","","Governor","","REP","Fob James","3789"
"Clay","","Governor","","DEM","Don Siegelman","2658"
"Clay","","Governor","","REP","Fob James","2122"
"Cleburne","","Governor","","DEM","Don Siegelman","2505"
"Cleburne","","Governor","","REP","Fob James","1730"
"Coffee","","Governor","","DEM","Don Siegelman","6609"
"Coffee","","Governor","","REP","Fob James","6333"
"Colbert","","Governor","","DEM","Don Siegelman","10581"
"Colbert","","Governor","","REP","Fob James","7063"
"Conecuh","","Governor","","DEM","Don Siegelman","3214"
"Conecuh","","Governor","","REP","Fob James","2133"
"Coosa","","Governor","","DEM","Don Siegelman","2502"
"Coosa","","Governor","","REP","Fob James","1469"
"Covington","","Governor","","DEM","Don Siegelman","5266"
"Covington","","Governor","","REP","Fob James","6125"
"Crenshaw","","Governor","","DEM","Don Siegelman","2518"
"Crenshaw","","Governor","","REP","Fob James","2155"
"Cullman","","Governor","","DEM","Don Siegelman","12684"
"Cullman","","Governor","","REP","Fob James","11498"
"Dale","","Governor","","DEM","Don Siegelman","6272"
"Dale","","Governor","","REP","Fob James","5397"
"Dallas","","Governor","","DEM","Don Siegelman","10553"
"Dallas","","Governor","","REP","Fob James","4965"
"Dekalb","","Governor","","DEM","Don Siegelman","9198"
"Dekalb","","Governor","","REP","Fob James","8156"
"Elmore","","Governor","","DEM","Don Siegelman","8485"
"Elmore","","Governor","","REP","Fob James","10583"
"Escambia","","Governor","","DEM","Don Siegelman","4862"
"Escambia","","Governor","","REP","Fob James","3910"
"Etowah","","Governor","","DEM","Don Siegelman","19947"
"Etowah","","Governor","","REP","Fob James","13100"
"Fayette","","Governor","","DEM","Don Siegelman","4192"
"Fayette","","Governor","","REP","Fob James","3206"
"Franklin","","Governor","","DEM","Don Siegelman","5111"
"Franklin","","Governor","","REP","Fob James","3720"
"Geneva","","Governor","","DEM","Don Siegelman","3733"
"Geneva","","Governor","","REP","Fob James","3874"
"Greene","","Governor","","DEM","Don Siegelman","3452"
"Greene","","Governor","","REP","Fob James","777"
"Hale","","Governor","","DEM","Don Siegelman","3992"
"Hale","","Governor","","REP","Fob James","1689"
"Henry","","Governor","","DEM","Don Siegelman","3360"
"Henry","","Governor","","REP","Fob James","2226"
"Houston","","Governor","","DEM","Don Siegelman","11305"
"Houston","","Governor","","REP","Fob James","12931"
"Jackson","","Governor","","DEM","Don Siegelman","8044"
"Jackson","","Governor","","REP","Fob James","4433"
"Jefferson","","Governor","","DEM","Don Siegelman","130077"
"Jefferson","","Governor","","REP","Fob James","88398"
"Lamar","","Governor","","DEM","Don Siegelman","2497"
"Lamar","","Governor","","REP","Fob James","1949"
"Lauderdale","","Governor","","DEM","Don Siegelman","14460"
"Lauderdale","","Governor","","REP","Fob James","10680"
"Lawrence","","Governor","","DEM","Don Siegelman","6774"
"Lawrence","","Governor","","REP","Fob James","3605"
"Lee","","Governor","","DEM","Don Siegelman","16767"
"Lee","","Governor","","REP","Fob James","11415"
"Limestone","","Governor","","DEM","Don Siegelman","10896"
"Limestone","","Governor","","REP","Fob James","9016"
"Lowndes","","Governor","","DEM","Don Siegelman","3886"
"Lowndes","","Governor","","REP","Fob James","1193"
"Macon","","Governor","","DEM","Don Siegelman","6595"
"Macon","","Governor","","REP","Fob James","790"
"Madison","","Governor","","DEM","Don Siegelman","50599"
"Madison","","Governor","","REP","Fob James","30877"
"Marengo","","Governor","","DEM","Don Siegelman","5139"
"Marengo","","Governor","","REP","Fob James","3346"
"Marion","","Governor","","DEM","Don Siegelman","5583"
"Marion","","Governor","","REP","Fob James","3707"
"Marshall","","Governor","","DEM","Don Siegelman","12087"
"Marshall","","Governor","","REP","Fob James","9734"
"Mobile","","Governor","","DEM","Don Siegelman","63419"
"Mobile","","Governor","","REP","Fob James","40592"
"Monroe","","Governor","","DEM","Don Siegelman","4255"
"Monroe","","Governor","","REP","Fob James","3194"
"Montgomery","","Governor","","DEM","Don Siegelman","42294"
"Montgomery","","Governor","","REP","Fob James","27821"
"Morgan","","Governor","","DEM","Don Siegelman","18963"
"Morgan","","Governor","","REP","Fob James","15805"
"Perry","","Governor","","DEM","Don Siegelman","3619"
"Perry","","Governor","","REP","Fob James","1171"
"Pickens","","Governor","","DEM","Don Siegelman","3942"
"Pickens","","Governor","","REP","Fob James","2871"
"Pike","","Governor","","DEM","Don Siegelman","5072"
"Pike","","Governor","","REP","Fob James","4051"
"Randolph","","Governor","","DEM","Don Siegelman","3231"
"Randolph","","Governor","","REP","Fob James","2532"
"Russell","","Governor","","DEM","Don Siegelman","7218"
"Russell","","Governor","","REP","Fob James","2672"
"Shelby","","Governor","","DEM","Don Siegelman","16814"
"Shelby","","Governor","","REP","Fob James","24822"
"St. Clair","","Governor","","DEM","Don Siegelman","9286"
"St. Clair","","Governor","","REP","Fob James","9966"
"Sumter","","Governor","","DEM","Don Siegelman","3982"
"Sumter","","Governor","","REP","Fob James","1073"
"Talladega","","Governor","","DEM","Don Siegelman","12400"
"Talladega","","Governor","","REP","Fob James","8064"
"Tallapoosa","","Governor","","DEM","Don Siegelman","7886"
"Tallapoosa","","Governor","","REP","Fob James","6256"
"Tuscaloosa","","Governor","","DEM","Don Siegelman","28487"
"Tuscaloosa","","Governor","","REP","Fob James","18252"
"Walker","","Governor","","DEM","Don Siegelman","12627"
"Walker","","Governor","","REP","Fob James","7944"
"Washington","","Governor","","DEM","Don Siegelman","3946"
"Washington","","Governor","","REP","Fob James","2022"
"Wilcox","","Governor","","DEM","Don Siegelman","3073"
"Wilcox","","Governor","","REP","Fob James","1297"
"Winston","","Governor","","DEM","Don Siegelman","3846"
"Winston","","Governor","","REP","Fob James","4105"
"Calculated","","Governor","","DEM","Don Siegelman","760155"
"Calculated","","Governor","","REP","Fob James","554746"
"Reported","","Governor","","DEM","Don Siegelman","760155"
"Reported","","Governor","","REP","Fob James","554746"
